,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.075,0.608,0.067,0.0,0.0,0.25
State 1,0.0,0.496,0.156,0.007,0.022,0.319
State 2,0.0,0.149,0.426,0.085,0.021,0.319
State 3,0.0,0.083,0.25,0.5,0.0,0.167
State 4,0.047,0.349,0.326,0.0,0.0,0.279
State 5,0.014,0.4,0.257,0.014,0.0,0.314
