,0,1,2,3,4
0,0.58,0.25,0.1,0.01,0.05
1,0.27,0.49,0.1,0.12,0.01
2,0.25,0.15,0.47,0.13,0.0
3,0.05,0.21,0.13,0.61,0.0
4,0.33,0.02,0.0,0.0,0.66
5,0.38,0.33,0.19,0.08,0.02
