,State 0,State 1,State 2,State 3,State 4
State 0,0.346,0.071,0.393,0.185,0.005
State 1,0.163,0.628,0.047,0.163,0.0
State 2,0.219,0.006,0.662,0.109,0.004
State 3,0.101,0.039,0.263,0.596,0.0
State 4,,,,,
Init prob,0.17916666666666667,0.0125,0.575,0.23333333333333334,0.0
