,State 0,State 1,State 2,State 3,State 4
State 0,0.388,0.068,0.388,0.118,0.038
State 1,0.309,0.327,0.036,0.327,0.0
State 2,0.19,0.002,0.599,0.109,0.1
State 3,0.102,0.108,0.335,0.449,0.006
State 4,0.014,0.0,0.457,0.0,0.529
Init prob,0.24166666666666667,0.03333333333333333,0.4666666666666667,0.2375,0.020833333333333332
