,State 0,State 1,State 2,State 3,State 4
State 0,0.535,0.115,0.27,0.07,0.008
State 1,0.127,0.75,0.032,0.091,0.0
State 2,0.393,0.005,0.42,0.082,0.1
State 3,0.2,0.342,0.2,0.258,0.0
State 4,0.029,0.0,0.229,0.0,0.743
Init prob,0.44583333333333336,0.11666666666666667,0.15833333333333333,0.23333333333333334,0.04583333333333333
