,State 0,State 1,State 2,State 3,State 4
State 0,0.621,0.111,0.195,0.073,0.0
State 1,0.224,0.618,0.053,0.106,0.0
State 2,0.409,0.005,0.495,0.091,0.0
State 3,0.235,0.154,0.114,0.497,0.0
State 4,,,,,
Init prob,0.4875,0.10833333333333334,0.22916666666666666,0.175,0.0
