task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,417826,919190,MPS,1,431970,435166,w,n,12
2,996982,1494096,MPM,2,463352,464576,w,n,1
3,1557880,1676234,G,3,466174,466446,w,n,1
4,1755998,2244238,NMM,4,473178,481644,w,n,23
5,2333590,2962692,NMS,5,491198,494666,h,n,7
"","","","",6,503778,505750,h,n,5
"","","","",7,512176,514794,w,n,9
"","","","",8,528632,536554,w,n,23
"","","","",9,540124,547910,w,n,25
"","","","",10,555458,557294,h,n,6
"","","","",11,565692,567834,h,n,6
"","","","",12,585820,592620,w,n,18
"","","","",13,604418,605880,w,n,2
"","","","",14,607274,614856,w,n,22
"","","","",15,619140,620432,w,n,5
"","","","",16,625192,626144,w,n,3
"","","","",17,627980,628388,h,n,1
"","","","",18,630122,630360,w,n,1
"","","","",19,630394,630904,f,n,.
"","","","",20,636446,637534,w,n,4
"","","","",21,643008,643450,w,n,2
"","","","",22,644538,646510,w,n,6
"","","","",23,650318,651712,w,n,4
"","","","",24,653344,658614,w,n,10
"","","","",25,659906,661368,w,n,2
"","","","",26,662320,663986,w,n,2
"","","","",27,665618,668168,w,n,4
"","","","",28,675104,675648,w,n,2
"","","","",29,685542,686222,w,n,3
"","","","",30,689010,690370,w,n,5
"","","","",31,692580,693464,w,n,3
"","","","",32,697000,697136,w,n,1
"","","","",33,698870,701182,w,n,6
"","","","",34,703766,703970,w,n,1
"","","","",35,704718,704888,w,n,1
"","","","",36,708594,711450,w,n,6
"","","","",37,713048,713626,w,n,2
"","","","",38,714748,714850,w,n,1
"","","","",39,718760,723418,w,n,13
"","","","",40,729912,731306,h,n,3
"","","","",41,739670,745722,w,n,21
"","","","",42,748238,749190,w,n,3
"","","","",43,750074,752352,w,n,8
"","","","",44,755004,763300,w,n,28
"","","","",45,770984,771256,h,n,1
"","","","",46,775030,776900,w,n,7
"","","","",47,783122,783836,w,n,3
"","","","",48,784958,789718,w,n,13
"","","","",49,792200,795600,w,n,12
"","","","",50,796892,799714,w,n,13
"","","","",51,959140,967844,w,n,30
"","","","",52,999872,1001946,w,n,6
"","","","",53,1003170,1011398,w,n,28
"","","","",54,1012112,1019320,w,n,23
"","","","",55,1021292,1025066,w,n,11
"","","","",56,1029384,1040230,w,n,33
"","","","",57,1040842,1044344,w,n,10
"","","","",58,1045364,1053728,w,n,26
"","","","",59,1055054,1056482,w,n,5
"","","","",60,1057026,1067702,w,n,34
"","","","",61,1069096,1070864,w,n,6
"","","","",62,1072054,1075624,w,n,11
"","","","",63,1077154,1080180,w,n,9
"","","","",64,1081812,1091876,w,n,32
"","","","",65,1093780,1098744,w,n,13
"","","","",66,1100920,1102756,w,n,6
"","","","",67,1103504,1119994,w,n,50
"","","","",68,1120742,1126318,w,n,18
"","","","",69,1130058,1134274,w,n,13
"","","","",70,1136790,1136892,w,n,1
"","","","",71,1142706,1146208,w,n,8
"","","","",72,1146888,1147024,w,n,1
"","","","",73,1147092,1147466,f,n,.
"","","","",74,1152906,1153790,w,n,4
"","","","",75,1158618,1160352,w,n,7
"","","","",76,1162324,1167934,w,n,17
"","","","",77,1171334,1172286,w,n,3
"","","","",78,1175754,1175992,w,n,1
"","","","",79,1181092,1181466,w,n,1
"","","","",80,1195950,1196154,w,n,1
"","","","",81,1200030,1200676,w,n,3
"","","","",82,1204756,1204960,w,n,1
"","","","",83,1207646,1208088,w,n,2
"","","","",84,1214786,1217846,w,n,9
"","","","",85,1219784,1222470,w,n,8
"","","","",86,1224204,1229406,w,n,16
"","","","",87,1235764,1235934,w,n,1
"","","","",88,1238314,1238620,w,n,1
"","","","",89,1239810,1240286,w,n,2
"","","","",90,1246066,1246270,w,n,1
"","","","",91,1250996,1252050,w,n,4
"","","","",92,1256470,1266262,w,n,32
"","","","",93,1268608,1274626,w,n,17
"","","","",94,1274626,1275136,f,n,.
"","","","",95,1317534,1319336,w,n,7
"","","","",96,1321036,1331270,w,n,31
"","","","",97,1331916,1332154,w,n,1
"","","","",98,1335146,1346128,w,n,36
"","","","",99,1349018,1357110,w,n,23
"","","","",100,1357756,1358436,w,n,2
"","","","",101,1358538,1358776,f,n,.
"","","","",102,1360748,1361802,w,n,4
"","","","",103,1362482,1362686,w,n,1
"","","","",104,1363740,1365780,w,n,6
"","","","",105,1366324,1376150,w,n,26
"","","","",106,1377476,1377612,w,n,1
"","","","",107,1378530,1382304,w,n,12
"","","","",108,1382950,1383120,w,n,1
"","","","",109,1385126,1386724,w,n,5
"","","","",110,1388118,1388628,w,n,1
"","","","",111,1391246,1394476,w,n,10
"","","","",112,1395394,1395564,w,n,1
"","","","",113,1416202,1416406,w,n,1
"","","","",114,1417324,1430414,w,n,37
"","","","",115,1431604,1440410,w,n,24
"","","","",116,1441056,1449386,w,n,24
"","","","",117,1449896,1452140,w,n,7
"","","","",118,1452786,1453194,w,n,2
"","","","",119,1453976,1460878,w,n,21
"","","","",120,1464414,1464924,w,n,2
"","","","",121,1468052,1472166,w,n,13
"","","","",122,1472846,1481686,w,n,24
"","","","",123,1484542,1484848,w,n,1
"","","","",124,1486140,1490322,w,n,13
"","","","",125,1758854,1764328,w,n,18
"","","","",126,1765178,1768374,w,n,9
"","","","",127,1769666,1775208,w,n,17
"","","","",128,1776330,1780988,w,n,16
"","","","",129,1781600,1790780,w,n,32
"","","","",130,1792718,1793024,w,n,1
"","","","",131,1793908,1794078,w,n,1
"","","","",132,1795948,1808800,w,n,37
"","","","",133,1810908,1817504,w,n,21
"","","","",134,1818966,1821312,w,n,5
"","","","",135,1824542,1829846,w,n,17
"","","","",136,1830424,1844228,w,n,39
"","","","",137,1846812,1856570,w,n,28
"","","","",138,1870510,1871190,k,n,2
"","","","",139,1872788,1874488,h,n,3
"","","","",140,1879826,1880948,h,n,3
"","","","",141,1883294,1883668,h,n,1
"","","","",142,1896996,1897200,h,n,1
"","","","",143,1900770,1902232,w,n,5
"","","","",144,1926304,1939734,w,n,40
"","","","",145,1941434,1952552,w,n,28
"","","","",146,1953742,1955986,w,n,6
"","","","",147,1958672,1963874,w,n,17
"","","","",148,1964724,1967886,w,n,11
"","","","",149,1968770,1975876,w,n,21
"","","","",150,1977100,1977304,w,n,1
"","","","",151,1978766,1983084,w,n,15
"","","","",152,1984750,1987266,w,n,8
"","","","",153,1989408,1989884,w,n,2
"","","","",154,1993760,1998248,w,n,14
"","","","",155,1999642,2001886,w,n,4
"","","","",156,2002634,2007360,w,n,15
"","","","",157,2008108,2008210,w,n,1
"","","","",158,2009672,2010964,w,n,5
"","","","",159,2011542,2011712,w,n,1
"","","","",160,2013854,2016710,w,n,8
"","","","",161,2019430,2021300,w,n,6
"","","","",162,2023340,2023510,w,n,1
"","","","",163,2024428,2029596,w,n,15
"","","","",164,2031262,2033710,w,n,9
