task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,335308,817360,NMS,1,344522,351492,w,n,21
2,879240,1354458,NMM,2,354722,364446,w,n,26
3,1415930,1635434,G,3,395590,399500,w,n,11
4,1723154,2210952,MPS,4,413950,419526,w,n,10
5,2262122,2732614,MPM,5,427006,429862,w,n,9
"","","","",6,434792,445094,w,n,21
"","","","",7,461142,469064,w,n,22
"","","","",8,478992,487016,w,n,18
"","","","",9,496060,496196,w,n,1
"","","","",10,498780,499120,w,n,1
"","","","",11,499154,500072,f,n,.
"","","","",12,506396,509830,w,n,5
"","","","",13,516154,519214,w,n,6
"","","","",14,527034,548182,w,n,30
"","","","",15,551174,565590,w,n,31
"","","","",16,568786,578986,w,n,23
"","","","",17,584154,587656,w,n,6
"","","","",18,591634,597312,w,n,15
"","","","",19,599420,608600,w,n,19
"","","","",20,613156,618120,w,n,12
"","","","",21,621214,622404,f,n,2
"","","","",22,627878,628456,h,n,2
"","","","",23,633250,634610,h,n,4
"","","","",24,642090,642362,h,n,1
"","","","",25,952782,954278,h,n,3
"","","","",26,997968,1012724,w,n,28
"","","","",27,1016328,1016600,w,n,1
"","","","",28,1025440,1037238,w,n,11
"","","","",29,1040570,1060494,w,n,30
"","","","",30,1064676,1071680,w,n,22
"","","","",31,1081812,1115506,w,n,66
"","","","",32,1118770,1122204,w,n,6
"","","","",33,1126488,1134716,w,n,11
"","","","",34,1138184,1144168,w,n,10
"","","","",35,1147670,1153382,h,n,12
"","","","",36,1156238,1191258,w,n,68
"","","","",37,1194488,1195916,w,n,4
"","","","",38,1218526,1223796,h,n,11
"","","","",39,1227060,1234948,w,n,13
"","","","",40,1238858,1240014,w,n,3
"","","","",41,1241986,1243312,w,n,3
"","","","",42,1244434,1250894,w,n,15
"","","","",43,1264868,1267112,w,n,7
"","","","",44,1273062,1280236,w,n,19
"","","","",45,1281800,1282072,w,n,1
"","","","",46,1286288,1287138,w,n,3
"","","","",47,1289688,1289892,w,n,1
"","","","",48,1296590,1296862,w,n,1
"","","","",49,1301452,1302166,w,n,1
"","","","",50,1733660,1737842,w,n,12
"","","","",51,1739848,1749674,w,n,20
"","","","",52,1751340,1761608,w,n,21
"","","","",53,1763138,1768510,w,n,13
"","","","",54,1771128,1773236,w,n,4
"","","","",55,1776840,1776976,w,n,1
"","","","",56,1781906,1782416,w,n,2
"","","","",57,1793602,1796492,w,n,5
"","","","",58,1800742,1801116,w,n,2
"","","","",59,1807678,1808018,w,n,2
"","","","",60,1817368,1819238,w,n,4
"","","","",61,1845112,1848512,w,n,2
"","","","",62,1850756,1850960,w,n,1
"","","","",63,1864152,1864730,w,n,2
"","","","",64,1878806,1880336,w,n,3
"","","","",65,2173858,2177700,w,n,13
"","","","",66,2179128,2185622,w,n,16
"","","","",67,2272220,2272288,f,n,.
"","","","",68,2331618,2334338,f,n,8
"","","","",69,2411382,2420732,w,n,19
"","","","",70,2422194,2426682,w,n,12
"","","","",71,2426716,2427056,f,n,.
"","","","",72,2476832,2481966,w,n,9
"","","","",73,2483972,2484448,f,n,1
"","","","",74,2501346,2526268,w,n,46
"","","","",75,2528512,2531402,w,n,7
"","","","",76,2533000,2544730,w,n,26
"","","","",77,2545886,2549490,w,n,4
"","","","",78,2551768,2555304,w,n,7
"","","","",79,2556766,2584612,w,n,54
"","","","",80,2586720,2587230,w,n,2
"","","","",81,2589508,2590324,w,n,2
"","","","",82,2592160,2592806,w,n,2
"","","","",83,2594948,2596410,w,n,4
"","","","",84,2599810,2601510,w,n,3
"","","","",85,2602190,2614260,f,n,11
"","","","",86,2641018,2645914,w,n,9
"","","","",87,2647002,2651218,w,n,10
"","","","",88,2657168,2662914,w,n,16
"","","","",89,2664274,2668082,w,n,7
"","","","",90,2670428,2686680,w,n,32
"","","","",91,2688958,2689026,w,n,1
"","","","",92,2690318,2693174,w,n,7
"","","","",93,2703884,2705516,w,n,4
"","","","",94,2708202,2732614,w,n,51
