task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,306102,803590,NMM,1,306782,307734,w,n,3
2,871250,1367276,NMS,2,309162,312086,w,n,7
3,1430346,1594464,G,3,313480,320280,w,n,17
4,1644240,2138022,MPM,4,355912,358666,h,n,7
5,2174980,2672876,MPS,5,386920,387090,w,n,1
"","","","",6,387940,388858,w,n,3
"","","","",7,389810,396576,w,n,15
"","","","",8,398378,399432,w,n,3
"","","","",9,406946,412862,h,n,8
"","","","",10,430916,432004,h,n,3
"","","","",11,433874,435574,w,n,2
"","","","",12,436220,436458,k,n,1
"","","","",13,459884,461244,h,n,3
"","","","",14,467670,468112,w,n,1
"","","","",15,473178,474538,w,n,3
"","","","",16,477700,477972,w,n,1
"","","","",17,484262,485554,w,n,3
"","","","",18,491130,495924,w,n,10
"","","","",19,496740,497046,w,n,1
"","","","",20,497794,499052,w,n,2
"","","","",21,502146,504458,w,n,5
"","","","",22,508198,508368,w,n,1
"","","","",23,510544,516358,w,n,2
"","","","",24,519486,519554,w,n,1
"","","","",25,527000,527238,w,n,1
"","","","",26,528054,528564,w,n,2
"","","","",27,532950,537710,w,n,9
"","","","",28,541314,548046,w,n,16
"","","","",29,550596,553146,w,n,4
"","","","",30,554438,554846,w,n,2
"","","","",31,557294,559742,w,n,6
"","","","",32,572764,573036,w,n,1
"","","","",33,579734,580958,w,n,3
"","","","",34,594286,594422,w,n,1
"","","","",35,600474,604316,w,n,8
"","","","",36,605608,608668,w,n,6
"","","","",37,618120,620534,h,n,8
"","","","",38,621962,624070,w,n,5
"","","","",39,637602,637874,w,n,1
"","","","",40,639506,640696,w,n,2
"","","","",41,649434,655044,w,n,10
"","","","",42,658512,659702,w,n,3
"","","","",43,661844,665210,w,n,9
"","","","",44,675376,675682,w,n,1
"","","","",45,679592,680612,w,n,2
"","","","",46,702746,704514,w,n,3
"","","","",47,707574,709784,w,n,4
"","","","",48,712810,712980,w,n,1
"","","","",49,720902,721242,w,n,1
"","","","",50,727566,732836,w,n,7
"","","","",51,737970,739534,w,n,3
"","","","",52,741812,742084,w,n,1
"","","","",53,743410,745518,w,n,4
"","","","",54,753406,755072,w,n,2
"","","","",55,756840,758744,w,n,4
"","","","",56,767482,768842,w,n,3
"","","","",57,776492,779892,w,n,6
"","","","",58,786182,786522,w,n,1
"","","","",59,789276,791282,w,n,3
"","","","",60,791962,797402,w,n,12
"","","","",61,798796,801856,w,n,9
"","","","",62,895492,912458,h,n,28
"","","","",63,914600,916980,h,n,5
"","","","",64,950130,963084,h,n,28
"","","","",65,974882,979540,h,n,11
"","","","",66,981104,986068,h,n,9
"","","","",67,1009154,1016260,h,n,17
"","","","",68,1025848,1034348,w,n,22
"","","","",69,1035980,1036184,w,n,1
"","","","",70,1040434,1045126,w,n,13
"","","","",71,1056856,1064982,w,n,20
"","","","",72,1080724,1091570,h,n,17
"","","","",73,1093644,1095888,w,n,7
"","","","",74,1096670,1096908,w,n,1
"","","","",75,1097826,1097996,w,n,1
"","","","",76,1104150,1104388,w,n,1
"","","","",77,1109964,1115744,w,n,17
"","","","",78,1125434,1125570,h,n,1
"","","","",79,1136042,1137640,h,n,2
"","","","",80,1158210,1166846,h,n,17
"","","","",81,1182622,1188436,w,n,14
"","","","",82,1190102,1198942,w,n,16
"","","","",83,1201152,1202308,w,n,2
"","","","",84,1203396,1208156,w,n,9
"","","","",85,1214004,1219954,w,n,17
"","","","",86,1235492,1236206,w,n,1
"","","","",87,1239912,1257354,w,n,35
"","","","",88,1259734,1260788,h,n,2
"","","","",89,1262998,1263338,h,n,1
"","","","",90,1269288,1270104,h,n,2
"","","","",91,1298970,1305906,w,n,17
"","","","",92,1319472,1324096,w,n,8
"","","","",93,1325932,1331950,h,n,10
"","","","",94,1334194,1339124,w,n,10
"","","","",95,1344224,1350956,w,n,14
"","","","",96,1359524,1363026,w,n,7
"","","","",97,1365508,1365678,w,n,1
"","","","",98,1644240,1649748,w,n,13
"","","","",99,1681062,1681742,h,n,1
"","","","",100,1682354,1682626,w,y,1
"","","","",101,1684666,1691772,w,n,18
"","","","",102,1695206,1703672,w,n,22
"","","","",103,1704454,1709248,w,n,10
"","","","",104,1710608,1714688,w,n,11
"","","","",105,1718190,1721556,w,n,9
"","","","",106,1722746,1725194,w,n,7
"","","","",107,1727438,1729274,w,n,4
"","","","",108,1731076,1732028,w,n,3
"","","","",109,1733252,1735326,w,n,4
"","","","",110,1738114,1738318,w,n,1
"","","","",111,1740188,1744132,w,n,11
"","","","",112,1745254,1749674,w,n,11
"","","","",113,1750592,1751646,w,n,3
"","","","",114,1753482,1753924,w,n,2
"","","","",115,1755012,1755216,w,n,1
"","","","",116,1757290,1757392,w,n,1
"","","","",117,1759092,1759262,w,n,1
"","","","",118,1760384,1760554,w,n,1
"","","","",119,1768986,1769054,w,n,1
"","","","",120,1770312,1773916,w,n,9
"","","","",121,1774494,1778200,w,n,9
"","","","",122,1778846,1781634,w,n,6
"","","","",123,1783368,1785884,w,n,7
"","","","",124,1799518,1802952,h,n,6
"","","","",125,1817368,1819068,h,n,4
"","","","",126,1819714,1822060,w,n,6
"","","","",127,1825018,1827432,w,n,7
"","","","",128,1829200,1837938,w,n,21
"","","","",129,1846574,1847322,w,n,2
"","","","",130,1856434,1856570,w,n,1
"","","","",131,1857964,1858270,w,n,1
"","","","",132,1861126,1861262,w,n,1
"","","","",133,1863846,1864016,w,n,1
"","","","",134,1869014,1869286,w,n,1
"","","","",135,1870068,1877786,w,n,17
"","","","",136,1963058,1966152,h,n,7
"","","","",137,1981350,1982336,h,n,2
"","","","",138,1985362,1985600,h,n,1
"","","","",139,1988966,1991482,w,n,7
"","","","",140,2001002,2004810,w,n,11
"","","","",141,2005558,2006646,w,n,4
"","","","",142,2008142,2008278,w,n,1
"","","","",143,2012596,2013276,h,n,2
"","","","",144,2016506,2018172,w,n,5
"","","","",145,2019328,2020688,w,n,4
"","","","",146,2022592,2022796,w,n,1
"","","","",147,2023714,2023884,w,n,1
"","","","",148,2027114,2028304,h,n,3
"","","","",149,2032520,2032792,h,n,1
"","","","",150,2044794,2046766,h,n,4
"","","","",151,2066758,2073286,h,n,11
"","","","",152,2103240,2105756,w,n,7
