task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,320790,807500,MPS,1,321198,322728,w,n,3
2,880634,1385568,MPM,2,324292,327488,w,n,6
3,1741446,2278748,NMM,3,331602,336634,w,n,15
4,2315876,2857904,NMS,4,378828,379236,h,n,1
5,2912576,3068772,G,5,385254,388246,w,n,10
"","","","",6,430746,432344,w,n,6
"","","","",7,447168,450024,w,n,7
"","","","",8,459850,460292,h,n,1
"","","","",9,490518,495516,w,n,12
"","","","",10,498372,514284,w,n,32
"","","","",11,516086,524722,w,n,12
"","","","",12,526592,526762,w,n,1
"","","","",13,528802,536112,w,n,18
"","","","",14,540974,549100,w,n,23
"","","","",15,562496,567052,h,n,3
"","","","",16,625192,625430,h,n,1
"","","","",17,633488,634882,h,n,2
"","","","",18,670140,672078,w,y,2
"","","","",19,684556,686494,w,n,5
"","","","",20,688738,691594,w,n,5
"","","","",21,696626,697850,w,n,3
"","","","",22,728144,728484,k,n,1
"","","","",23,732632,737222,w,n,8
"","","","",24,752794,753270,h,n,1
"","","","",25,755446,756670,h,n,3
"","","","",26,758472,758710,h,n,1
"","","","",27,765510,765850,h,n,1
"","","","",28,781422,787882,w,n,19
"","","","",29,792030,795872,w,n,11
"","","","",30,880634,881586,w,n,3
"","","","",31,886754,886958,w,n,1
"","","","",32,889270,890188,w,n,2
"","","","",33,893180,893350,w,n,1
"","","","",34,902632,902904,w,n,1
"","","","",35,907086,907358,w,n,1
"","","","",36,917184,917762,w,n,2
"","","","",37,924868,932416,w,n,19
"","","","",38,933402,938774,w,n,13
"","","","",39,940610,943126,w,n,5
"","","","",40,944214,960024,w,n,34
"","","","",41,964138,964784,w,n,2
"","","","",42,965872,968252,w,n,7
"","","","",43,969238,969510,w,n,1
"","","","",44,971006,980560,w,n,25
"","","","",45,982838,990692,w,n,22
"","","","",46,992324,997968,w,n,9
"","","","",47,1002082,1003340,w,n,4
"","","","",48,1006060,1020306,w,n,33
"","","","",49,1021700,1023094,w,n,4
"","","","",50,1024080,1026324,w,n,6
"","","","",51,1027242,1029214,w,n,4
"","","","",52,1032070,1048628,w,n,38
"","","","",53,1049444,1055836,w,n,18
"","","","",54,1059270,1063214,w,n,12
"","","","",55,1064778,1076746,w,n,28
"","","","",56,1082798,1083036,w,n,1
"","","","",57,1084260,1086946,w,n,7
"","","","",58,1087762,1091808,w,n,10
"","","","",59,1099798,1105850,w,n,15
"","","","",60,1108502,1110678,w,n,6
"","","","",61,1116254,1137572,w,n,54
"","","","",62,1140836,1146820,w,n,18
"","","","",63,1152770,1154436,w,n,5
"","","","",64,1228454,1239130,w,n,28
"","","","",65,1240728,1250112,w,n,23
"","","","",66,1251880,1254906,w,n,10
"","","","",67,1257184,1257524,w,n,1
"","","","",68,1258850,1265446,w,n,18
"","","","",69,1270240,1289348,w,n,44
"","","","",70,1294176,1300058,w,n,12
"","","","",71,1301078,1303764,w,n,6
"","","","",72,1305294,1305430,w,n,1
"","","","",73,1306790,1308150,w,n,3
"","","","",74,1313216,1318588,w,n,12
"","","","",75,1319880,1328720,w,n,19
"","","","",76,1330556,1335588,w,n,15
"","","","",77,1338274,1339532,w,n,2
"","","","",78,1340518,1340756,w,n,1
"","","","",79,1347352,1358708,w,n,29
"","","","",80,1360816,1370914,w,n,23
"","","","",81,1372614,1377102,w,n,14
"","","","",82,1378258,1381760,w,n,10
"","","","",83,1741446,1760758,w,n,45
"","","","",84,1762050,1770856,w,n,22
"","","","",85,1772012,1779628,w,n,22
"","","","",86,1780784,1788060,w,n,22
"","","","",87,1791664,1793330,w,n,4
"","","","",88,1794520,1797410,w,n,6
"","","","",89,1798872,1800334,w,n,3
"","","","",90,1801762,1806386,w,n,15
"","","","",91,1808596,1814172,w,n,16
"","","","",92,1817742,1818252,w,n,2
"","","","",93,1821380,1823250,w,n,6
"","","","",94,1825120,1825290,w,n,1
"","","","",95,1827806,1828010,w,n,1
"","","","",96,1842630,1854394,w,n,26
"","","","",97,1858032,1861194,w,n,8
"","","","",98,1864866,1877276,w,n,34
"","","","",99,1878262,1878602,w,n,1
"","","","",100,1879622,1898152,w,n,42
"","","","",101,1898968,1900192,w,n,4
"","","","",102,1901382,1904510,w,n,9
"","","","",103,1905836,1925692,w,n,45
"","","","",104,1925726,1926134,f,n,.
"","","","",105,1936980,1937320,w,n,1
"","","","",106,1939598,1952790,w,n,32
"","","","",107,1954048,1978018,w,n,56
"","","","",108,1994474,2007292,w,n,32
"","","","",109,2008958,2009502,w,n,2
"","","","",110,2011032,2023136,w,n,25
"","","","",111,2027012,2033642,w,n,18
"","","","",112,2040850,2043298,w,n,8
"","","","",113,2049214,2049928,w,n,2
"","","","",114,2053770,2077944,w,n,55
"","","","",115,2084506,2085798,h,n,3
"","","","",116,2094672,2095828,h,n,2
"","","","",117,2098412,2101812,h,n,4
"","","","",118,2111570,2111740,w,n,1
"","","","",119,2114562,2123300,w,n,18
"","","","",120,2125476,2145672,w,n,43
"","","","",121,2147406,2157368,w,n,22
"","","","",122,2160122,2163352,w,n,6
"","","","",123,2167908,2177870,w,n,24
"","","","",124,2179774,2187764,w,n,17
"","","","",125,2198576,2199868,h,n,3
"","","","",126,2201534,2201840,h,n,1
"","","","",127,2203438,2203846,h,n,1
"","","","",128,2205410,2206430,h,n,3
"","","","",129,2209898,2222240,w,n,28
"","","","",130,2240362,2254200,w,n,35
"","","","",131,2255322,2266542,w,n,28
"","","","",132,2267664,2271506,w,n,6
"","","","",133,2275178,2278748,w,n,8
"","","","",134,2353684,2357968,w,n,13
"","","","",135,2378164,2379048,h,n,2
"","","","",136,2382482,2404650,w,n,70
"","","","",137,2406452,2408798,w,n,7
"","","","",138,2416040,2420528,w,n,14
