task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,272884,778940,MPS,1,273224,278732,w,n,16
2,831878,1339702,MPM,2,294644,301138,w,n,17
3,1412394,1570392,G,3,302396,303858,w,n,3
4,1662940,2166582,NMM,4,307564,309944,w,n,4
5,2319480,2810100,NMS,5,312562,321368,w,n,21
"","","","",6,328508,336532,w,n,20
"","","","",7,336566,336940,f,n,.
"","","","",8,338504,338708,w,n,1
"","","","",9,367812,368220,w,n,1
"","","","",10,394978,396304,w,n,3
"","","","",11,397154,397494,w,n,1
"","","","",12,402050,402492,w,n,1
"","","","",13,404940,406028,w,n,3
"","","","",14,413372,414188,w,n,2
"","","","",15,420104,421362,w,n,3
"","","","",16,440878,442510,w,n,3
"","","","",17,451690,454410,w,n,5
"","","","",18,467738,467908,w,n,1
"","","","",19,470934,471682,h,n,2
"","","","",20,497522,499528,h,n,3
"","","","",21,502962,504492,w,n,4
"","","","",22,521390,521594,w,n,1
"","","","",23,528564,532474,w,n,8
"","","","",24,537268,537438,h,n,1
"","","","",25,551174,552636,w,n,3
"","","","",26,568786,570180,w,n,3
"","","","",27,583066,583814,w,n,2
"","","","",28,585310,586058,w,n,2
"","","","",29,600474,601970,w,n,3
"","","","",30,611286,611762,w,n,1
"","","","",31,618358,619514,w,n,3
"","","","",32,621656,625634,w,n,7
"","","","",33,626722,630904,w,n,9
"","","","",34,632128,636854,w,n,8
"","","","",35,638214,644300,w,n,15
"","","","",36,670514,672894,w,n,4
"","","","",37,836604,836876,h,n,1
"","","","",38,839222,839630,h,n,1
"","","","",39,867612,876758,w,n,27
"","","","",40,880498,894812,w,n,36
"","","","",41,897566,903720,w,n,17
"","","","",42,904502,905794,w,n,3
"","","","",43,910792,913070,w,n,4
"","","","",44,915552,915790,w,n,1
"","","","",45,917320,922250,w,n,14
"","","","",46,924256,932042,w,n,20
"","","","",47,934116,934830,w,n,2
"","","","",48,935782,937516,w,n,4
"","","","",49,940780,945608,w,n,13
"","","","",50,947682,950810,w,n,9
"","","","",51,954346,957508,w,n,9
"","","","",52,959276,966654,w,n,19
"","","","",53,967538,974100,w,n,18
"","","","",54,976582,979642,w,n,8
"","","","",55,983960,988924,w,n,13
"","","","",56,990794,992868,w,n,5
"","","","",57,993548,993854,w,n,1
"","","","",58,994568,999634,w,n,14
"","","","",59,1004122,1008882,w,n,13
"","","","",60,1012214,1012894,w,n,3
"","","","",61,1014934,1015818,w,n,3
"","","","",62,1017518,1023502,w,n,8
"","","","",63,1024930,1033702,w,n,25
"","","","",64,1035674,1041964,w,n,17
"","","","",65,1045160,1051042,w,n,15
"","","","",66,1051620,1052198,f,n,.
"","","","",67,1055258,1055870,w,n,2
"","","","",68,1059746,1060018,w,n,1
"","","","",69,1066070,1066376,w,n,1
"","","","",70,1084940,1086946,w,n,3
"","","","",71,1094834,1098574,w,n,7
"","","","",72,1099458,1106530,w,n,19
"","","","",73,1107652,1112854,w,n,13
"","","","",74,1114078,1119314,w,n,14
"","","","",75,1121388,1123122,w,n,3
"","","","",76,1126794,1127712,w,n,2
"","","","",77,1128562,1128800,w,n,1
"","","","",78,1129786,1130024,w,n,1
"","","","",79,1131826,1137572,w,n,16
"","","","",80,1146208,1147942,h,n,2
"","","","",81,1154504,1157156,h,n,2
"","","","",82,1158414,1158958,h,n,1
"","","","",83,1160080,1160692,h,n,1
"","","","",84,1162902,1163718,h,n,1
"","","","",85,1166778,1167322,h,n,1
"","","","",86,1170960,1172660,h,n,2
"","","","",87,1201526,1204484,h,n,4
"","","","",88,1206966,1215534,w,n,25
"","","","",89,1218662,1219750,w,n,3
"","","","",90,1220906,1222776,w,n,5
"","","","",91,1224578,1225292,w,n,2
"","","","",92,1227502,1227604,w,n,1
"","","","",93,1230154,1231888,w,n,2
"","","","",94,1235764,1236138,w,n,1
"","","","",95,1236920,1239810,w,n,7
"","","","",96,1241612,1245998,w,n,10
"","","","",97,1247460,1251064,w,n,7
"","","","",98,1253852,1259938,w,n,14
"","","","",99,1272790,1275510,w,n,6
"","","","",100,1276224,1276700,w,n,2
"","","","",101,1277312,1279454,w,n,6
"","","","",102,1283534,1285302,w,n,5
"","","","",103,1288872,1292578,w,n,11
"","","","",104,1294210,1297678,w,n,8
"","","","",105,1299208,1299786,w,n,1
"","","","",106,1303288,1303594,w,n,1
"","","","",107,1306892,1307164,w,n,1
"","","","",108,1308320,1308592,w,n,1
"","","","",109,1309748,1311142,w,n,3
"","","","",110,1313760,1314236,w,n,2
"","","","",111,1326408,1339702,w,n,31
"","","","",112,1663654,1665286,w,n,4
"","","","",113,1668890,1671882,w,n,7
"","","","",114,1674398,1684156,w,n,22
"","","","",115,1689732,1690276,w,n,2
"","","","",116,1703400,1703604,w,n,1
"","","","",117,1709996,1712376,w,n,5
"","","","",118,1721046,1722270,w,n,3
"","","","",119,1729274,1733830,w,n,13
"","","","",120,1735938,1741990,w,n,15
"","","","",121,1742840,1743078,w,n,1
"","","","",122,1748416,1749164,w,n,2
"","","","",123,1751204,1759194,w,n,21
"","","","",124,1764668,1765654,w,n,3
"","","","",125,1774052,1774256,w,n,1
"","","","",126,1776058,1776330,w,n,1
"","","","",127,1780818,1781056,w,n,1
"","","","",128,1781974,1782178,w,n,1
"","","","",129,1784490,1785918,w,n,3
"","","","",130,1787550,1788094,w,n,2
"","","","",131,1790610,1791664,w,n,3
"","","","",132,1794622,1795200,w,n,2
"","","","",133,1799144,1800810,w,n,5
"","","","",134,1803938,1811112,w,n,20
"","","","",135,1812914,1814444,w,n,3
"","","","",136,1819238,1833824,w,n,34
"","","","",137,1836714,1836918,w,n,1
"","","","",138,1887136,1893834,w,n,19
"","","","",139,1898866,1904782,w,n,12
"","","","",140,1910290,1916002,w,n,16
"","","","",141,1926678,1935484,w,n,26
"","","","",142,1942692,1949934,w,n,19
"","","","",143,1955612,1955850,w,n,1
"","","","",144,1960406,1972816,w,n,28
"","","","",145,1977134,1979786,w,n,8
"","","","",146,1982200,2001546,w,n,46
"","","","",147,2003280,2005898,w,n,5
"","","","",148,2006646,2009502,w,n,6
"","","","",149,2011406,2013548,w,n,4
"","","","",150,2020042,2038130,w,n,42
"","","","",151,2039524,2040170,w,n,1
"","","","",152,2041258,2047616,w,n,15
"","","","",153,2048364,2055606,w,n,16
"","","","",154,2092632,2093278,w,n,2
"","","","",155,2116126,2116670,w,n,1
"","","","",156,2123708,2123946,w,n,1
"","","","",157,2125170,2125646,w,n,1
"","","","",158,2133228,2133432,w,n,1
"","","","",159,2139722,2139892,w,n,1
"","","","",160,2142170,2146046,w,n,10
"","","","",161,2149106,2158082,w,n,20
"","","","",162,2160394,2160598,w,n,1
"","","","",163,2162162,2162910,w,n,2
"","","","",164,2163930,2164440,w,n,2
"","","","",165,2165460,2165664,w,n,1
"","","","",166,2392104,2393566,h,n,2
"","","","",167,2401692,2402236,h,n,1
"","","","",168,2435590,2439636,h,n,4
"","","","",169,2442254,2452250,w,n,28
"","","","",170,2460886,2466122,w,n,16
"","","","",171,2473024,2473262,w,n,1
"","","","",172,2478124,2478430,w,n,1
"","","","",173,2492098,2492914,w,n,3
"","","","",174,2520148,2521338,w,n,3
"","","","",175,2522562,2524500,w,n,3
"","","","",176,2525486,2527866,w,n,3
"","","","",177,2528886,2529464,w,n,1
"","","","",178,2531674,2532864,w,n,1
"","","","",179,2533986,2534292,w,n,1
"","","","",180,2546362,2547960,h,n,4
"","","","",181,2549252,2552448,w,n,7
"","","","",182,2624290,2631600,w,n,20
"","","","",183,2633198,2633912,w,n,2
"","","","",184,2636564,2637346,w,n,2
"","","","",185,2638230,2646390,w,n,19
"","","","",186,2649960,2651082,w,n,3
"","","","",187,2654618,2655740,w,n,3
"","","","",188,2658800,2666960,w,n,20
