task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,265234,773432,MPM,1,265438,269076,w,n,9
2,825826,1323722,MPS,2,272510,277474,w,n,11
3,1424022,1581986,G,3,279752,290836,w,n,25
4,1665728,2198440,NMM,4,291618,293454,w,n,5
5,2400196,2908564,NMS,5,294678,294848,w,n,1
"","","","",6,300866,304640,w,n,7
"","","","",7,308414,312154,w,n,10
"","","","",8,315826,316778,w,n,3
"","","","",9,324394,334424,w,n,25
"","","","",10,347344,348602,w,n,3
"","","","",11,350914,353396,w,n,7
"","","","",12,354280,366758,w,n,31
"","","","",13,370770,371518,w,n,1
"","","","",14,372946,382432,w,n,23
"","","","",15,383690,384710,w,n,3
"","","","",16,386784,387804,w,n,2
"","","","",17,398650,399568,w,n,2
"","","","",18,401200,401302,w,n,1
"","","","",19,402118,403444,w,n,4
"","","","",20,405212,422450,w,n,48
"","","","",21,423572,440266,w,n,48
"","","","",22,443564,447236,w,n,11
"","","","",23,449616,451554,w,n,6
"","","","",24,452404,452914,w,n,2
"","","","",25,454376,456280,w,n,5
"","","","",26,457062,468724,w,n,32
"","","","",27,469676,469914,w,n,1
"","","","",28,472974,480080,w,n,27
"","","","",29,482528,487118,w,n,18
"","","","",30,494836,499324,w,n,10
"","","","",31,500718,500956,w,n,1
"","","","",32,508844,509422,w,n,2
"","","","",33,511700,521696,w,n,32
"","","","",34,525402,530196,w,n,17
"","","","",35,532032,541450,w,n,33
"","","","",36,544170,548590,w,n,17
"","","","",37,552092,562054,w,n,35
"","","","",38,571268,571880,w,n,2
"","","","",39,578034,581468,w,n,9
"","","","",40,582556,582794,w,n,1
"","","","",41,585378,589458,w,n,11
"","","","",42,590206,594626,w,n,14
"","","","",43,595748,597414,w,n,3
"","","","",44,601392,605608,w,n,15
"","","","",45,606492,613292,w,n,22
"","","","",46,614210,625804,w,n,35
"","","","",47,628286,628694,w,n,2
"","","","",48,629952,633012,w,n,10
"","","","",49,633522,635290,w,n,5
"","","","",50,636072,636854,w,n,2
"","","","",51,637534,640186,w,n,8
"","","","",52,642056,643960,w,n,6
"","","","",53,644640,647156,w,n,8
"","","","",54,652018,652154,w,n,1
"","","","",55,658716,660518,w,n,6
"","","","",56,661028,663204,w,n,8
"","","","",57,667590,669732,w,n,7
"","","","",58,673744,676736,w,n,8
"","","","",59,683366,684012,w,n,2
"","","","",60,687310,687854,w,n,2
"","","","",61,688636,691900,w,n,10
"","","","",62,693192,695674,w,n,7
"","","","",63,699516,700502,w,n,3
"","","","",64,701386,702270,w,n,3
"","","","",65,708832,711178,w,n,8
"","","","",66,712198,714306,w,n,6
"","","","",67,714986,716346,w,n,3
"","","","",68,717706,725526,w,n,18
"","","","",69,730184,739806,w,n,25
"","","","",70,741370,743410,w,n,5
"","","","",71,744634,745518,w,n,3
"","","","",72,746912,759152,w,n,36
"","","","",73,760988,771596,w,n,23
"","","","",74,834530,834938,w,n,2
"","","","",75,843166,844458,w,n,4
"","","","",76,846192,853842,w,n,15
"","","","",77,854862,858194,w,n,8
"","","","",78,859588,860132,w,n,2
"","","","",79,861628,867918,w,n,12
"","","","",80,869312,873868,w,n,9
"","","","",81,876146,877778,w,n,5
"","","","",82,921332,923508,w,n,6
"","","","",83,925344,933096,w,n,18
"","","","",84,943228,944792,w,n,4
"","","","",85,947342,947852,w,n,2
"","","","",86,953496,953734,w,n,1
"","","","",87,958630,959174,w,n,2
"","","","",88,960194,962268,w,n,4
"","","","",89,963084,963288,w,n,1
"","","","",90,966212,967844,w,n,3
"","","","",91,969340,970938,w,n,5
"","","","",92,973080,974338,w,n,4
"","","","",93,975596,975800,w,n,1
"","","","",94,977126,978520,w,n,5
"","","","",95,980662,981172,w,n,2
"","","","",96,1000314,1002014,w,n,5
"","","","",97,1016226,1016362,w,n,1
"","","","",98,1018504,1026936,w,n,18
"","","","",99,1037340,1037714,h,n,1
"","","","",100,1038394,1039516,w,n,4
"","","","",101,1049444,1050090,w,n,2
"","","","",102,1051178,1060154,w,n,24
"","","","",103,1162358,1171606,w,n,22
"","","","",104,1178406,1184050,w,n,16
"","","","",105,1188164,1189728,w,n,3
"","","","",106,1190646,1193400,w,n,8
"","","","",107,1198398,1198534,w,n,1
"","","","",108,1199418,1200030,w,n,2
"","","","",109,1201118,1204178,w,n,8
"","","","",110,1204722,1208700,w,n,7
"","","","",111,1213324,1214106,w,n,3
"","","","",112,1231004,1232670,w,n,5
"","","","",113,1236614,1241952,w,n,14
"","","","",114,1250690,1258102,w,n,16
"","","","",115,1260992,1262726,w,n,5
"","","","",116,1266296,1267146,w,n,2
"","","","",117,1269254,1269764,w,n,2
"","","","",118,1270682,1272076,w,n,4
"","","","",119,1273096,1273368,w,n,1
"","","","",120,1273776,1274320,f,y,.
"","","","",121,1286186,1291966,w,n,17
"","","","",122,1665728,1666884,w,n,3
"","","","",123,1668346,1670420,w,n,5
"","","","",124,1675486,1683034,w,n,25
"","","","",125,1683884,1687930,w,n,5
"","","","",126,1697416,1698402,w,n,4
"","","","",127,1701326,1701462,w,n,1
"","","","",128,1704046,1709180,w,n,13
"","","","",129,1719244,1722134,w,n,6
"","","","",130,1729104,1732470,w,n,6
"","","","",131,1738454,1740188,w,n,4
"","","","",132,1755148,1767422,w,n,30
"","","","",133,1770108,1771502,w,n,4
"","","","",134,1775854,1776976,w,n,3
"","","","",135,1781430,1781906,w,n,1
"","","","",136,1782518,1783776,w,n,3
"","","","",137,1792684,1809854,w,n,40
"","","","",138,1810500,1823556,w,n,35
"","","","",139,1824440,1828112,w,n,8
"","","","",140,1828928,1844330,w,n,42
"","","","",141,1846710,1869184,w,n,49
"","","","",142,1870510,1875848,w,n,14
"","","","",143,1877378,1882002,w,n,9
"","","","",144,1882614,1904136,w,n,52
"","","","",145,1904204,1904612,f,n,.
"","","","",146,1909610,1910834,w,n,4
"","","","",147,1912432,1917634,w,n,11
"","","","",148,1921714,1922938,w,n,3
"","","","",149,1926066,1928752,w,n,6
"","","","",150,1930112,1938714,w,n,21
"","","","",151,1940006,1941808,w,n,5
"","","","",152,1943338,1949254,w,n,16
"","","","",153,1951226,1959114,w,n,23
"","","","",154,1961528,1966458,w,n,12
"","","","",155,1969620,1970980,w,n,3
"","","","",156,1974686,1976692,w,n,2
"","","","",157,1984104,1984750,f,n,.
"","","","",158,1986756,1990258,w,n,8
"","","","",159,1991924,1995358,w,n,7
"","","","",160,1997432,1998724,w,n,3
"","","","",161,2000900,2002464,w,n,4
"","","","",162,2009842,2011542,w,n,5
"","","","",163,2013412,2015486,w,n,5
"","","","",164,2017220,2018852,w,n,4
"","","","",165,2030854,2031262,w,n,1
"","","","",166,2032554,2034560,w,n,6
"","","","",167,2036464,2037620,w,n,3
"","","","",168,2039762,2040000,w,n,1
"","","","",169,2041904,2042380,w,n,2
"","","","",170,2045882,2051492,w,n,9
"","","","",171,2056422,2056932,w,n,2
"","","","",172,2058054,2060094,w,n,2
"","","","",173,2063664,2064854,w,n,4
"","","","",174,2084642,2087600,w,n,7
"","","","",175,2093550,2094434,w,n,1
"","","","",176,2109156,2110856,w,n,6
"","","","",177,2111536,2111944,w,n,2
"","","","",178,2114494,2115888,w,n,5
"","","","",179,2120002,2152268,w,n,79
"","","","",180,2152812,2152982,w,n,1
"","","","",181,2156484,2186540,w,n,62
"","","","",182,2187288,2196128,w,n,18
"","","","",183,2475778,2480436,w,n,12
"","","","",184,2484482,2486012,w,n,4
"","","","",185,2487270,2491146,w,n,1
"","","","",186,2492268,2493628,w,n,1
"","","","",187,2500326,2500564,w,n,1
"","","","",188,2501652,2502060,w,n,1
