task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,362474,917150,MPM,1,369750,376108,h,n,7
2,973692,1484984,MPS,2,378930,379950,h,n,2
3,1538636,1890706,G,3,383758,391306,h,n,13
4,1973564,2515592,NMM,4,455464,456144,h,n,2
5,2558602,3163870,NMS,5,461516,462808,h,n,4
"","","","",6,474878,476816,h,n,6
"","","","",7,485486,487118,h,n,4
"","","","",8,518194,523158,h,n,13
"","","","",9,553010,555322,h,n,6
"","","","",10,735114,738208,h,n,6
"","","","",11,753950,755582,h,n,4
"","","","",12,764150,771868,h,n,14
"","","","",13,783870,785808,w,n,5
"","","","",14,786046,786386,f,n,.
"","","","",15,794104,797980,h,n,5
"","","","",16,798762,801040,h,n,3
"","","","",17,805732,805868,w,y,1
"","","","",18,808860,809676,w,n,2
"","","","",19,822562,828478,w,y,14
"","","","",20,829498,829634,w,n,1
"","","","",21,837182,839868,w,n,5
"","","","",22,842214,855100,w,n,16
"","","","",23,864722,864892,w,n,1
"","","","",24,873188,874854,w,n,3
"","","","",25,896002,901442,w,n,10
"","","","",26,905794,906032,w,n,1
"","","","",27,907086,908956,w,n,5
"","","","",28,912050,913716,h,n,2
"","","","",29,981036,985388,h,n,12
"","","","",30,994432,996200,k,n,3
"","","","",31,998138,998342,w,n,1
"","","","",32,1000552,1003034,w,y,2
"","","","",33,1006740,1007488,w,y,2
"","","","",34,1010820,1012316,w,n,3
"","","","",35,1016532,1016770,w,n,1
"","","","",36,1017688,1018844,w,n,3
"","","","",37,1020612,1023876,w,n,7
"","","","",38,1029010,1029112,w,n,1
"","","","",39,1029758,1030132,f,n,.
"","","","",40,1196460,1197208,h,n,2
"","","","",41,1200642,1202410,h,n,5
"","","","",42,1207714,1211658,h,n,7
"","","","",43,1215126,1215330,h,n,2
"","","","",44,1382202,1384208,k,n,3
"","","","",45,1393490,1395224,h,n,2
"","","","",46,1404132,1409674,h,n,4
"","","","",47,1469752,1471248,h,n,2
"","","","",48,1478490,1479340,h,n,2
"","","","",49,1974074,1977372,w,y,6
"","","","",50,1978562,1979276,w,y,2
"","","","",51,2043536,2043570,h,n,1
"","","","",52,2045542,2050948,h,n,12
"","","","",53,2055640,2057442,w,n,4
"","","","",54,2065772,2065976,w,n,1
"","","","",55,2070804,2071076,w,n,1
"","","","",56,2072912,2074068,w,n,3
"","","","",57,2082534,2083894,w,n,4
"","","","",58,2094672,2096678,w,n,4
"","","","",59,2096780,2097052,f,n,.
"","","","",60,2101166,2101846,w,n,2
"","","","",61,2106096,2108714,w,n,5
"","","","",62,2110142,2122620,w,n,20
"","","","",63,2125680,2127584,w,n,2
"","","","",64,2128740,2130814,w,n,4
"","","","",65,2133126,2133228,w,n,1
"","","","",66,2135370,2153322,w,n,21
"","","","",67,2155770,2157572,w,n,4
"","","","",68,2166344,2166650,w,n,1
"","","","",69,2172940,2173110,w,n,1
"","","","",70,2177598,2179468,w,n,3
"","","","",71,2196400,2197046,w,n,2
"","","","",72,2200446,2200820,w,n,1
"","","","",73,2202350,2204968,w,n,4
"","","","",74,2212346,2212618,w,n,1
"","","","",75,2214114,2214352,w,n,1
"","","","",76,2217514,2220710,w,n,6
"","","","",77,2240158,2251378,w,n,18
"","","","",78,2252670,2254744,w,n,3
"","","","",79,2255458,2257362,w,n,1
"","","","",80,2279768,2282046,w,n,3
"","","","",81,2282998,2283848,w,n,2
"","","","",82,2291124,2296428,w,n,8
"","","","",83,2304146,2316488,w,n,17
"","","","",84,2319616,2323764,w,n,8
"","","","",85,2336344,2338622,w,n,3
"","","","",86,2342668,2342906,w,n,1
"","","","",87,2345320,2347462,w,n,4
"","","","",88,2361062,2364462,w,n,4
"","","","",89,2374356,2377110,w,n,6
"","","","",90,2377790,2383672,w,n,9
"","","","",91,2385644,2390370,w,n,8
"","","","",92,2391832,2393430,w,n,3
"","","","",93,2395810,2396218,w,n,1
"","","","",94,2399482,2400060,w,n,1
"","","","",95,2402338,2406146,w,n,4
"","","","",96,2407438,2407642,w,n,1
"","","","",97,2413966,2416958,w,n,5
"","","","",98,2418250,2419474,w,n,2
"","","","",99,2421684,2423316,w,n,3
"","","","",100,2426410,2432734,w,n,10
"","","","",101,2434094,2438956,w,n,8
"","","","",102,2440214,2440418,w,n,1
"","","","",103,2444634,2444906,w,n,1
"","","","",104,2446980,2454018,w,n,9
"","","","",105,2460410,2462756,w,n,2
"","","","",106,2464116,2468162,w,n,6
"","","","",107,2469658,2470712,h,n,3
"","","","",108,2471630,2472412,h,n,2
"","","","",109,2486828,2487746,h,n,2
"","","","",110,2507432,2511478,h,n,8
"","","","",111,2513960,2515524,w,n,2
"","","","",112,2599198,2602292,h,n,7
"","","","",113,2619428,2625854,h,n,14
"","","","",114,2626976,2627724,k,n,2
"","","","",115,2630206,2637754,w,n,11
"","","","",116,2639352,2639624,w,n,1
"","","","",117,2645404,2648498,w,n,6
"","","","",118,2654142,2655944,w,n,2
"","","","",119,2662574,2666620,w,n,5
"","","","",120,2675494,2684300,w,n,15
"","","","",121,2687190,2687428,w,n,1
"","","","",122,2689434,2690080,w,n,1
"","","","",123,2706264,2708236,w,n,3
"","","","",124,2713676,2714356,w,n,1
"","","","",125,2721870,2722176,w,n,1
"","","","",126,2724998,2726834,w,n,4
"","","","",127,2730506,2733430,w,n,4
"","","","",128,2735674,2740162,w,n,5
"","","","",129,2746180,2749240,w,n,6
"","","","",130,2759032,2770150,w,n,18
"","","","",131,2773346,2778038,w,n,7
"","","","",132,2783478,2784056,w,n,2
"","","","",133,2791298,2794494,w,n,5
"","","","",134,2795820,2797452,w,n,3
"","","","",135,2805476,2805714,w,n,1
"","","","",136,2807890,2808808,w,n,2
"","","","",137,2816288,2816458,w,n,1
"","","","",138,2822612,2826250,w,n,3
"","","","",139,2828902,2830908,w,n,3
"","","","",140,2832846,2834002,w,n,2
"","","","",141,2835294,2838864,w,n,1
"","","","",142,2841414,2843250,w,n,3
"","","","",143,2856340,2856952,w,n,1
"","","","",144,2859910,2860386,w,n,1
"","","","",145,2868784,2869498,w,n,2
"","","","",146,2874564,2875125,w,n,1
"","","","",147,2876434,2877352,w,n,2
"","","","",148,2882418,2889932,h,n,12
"","","","",149,2894998,2895814,w,n,2
"","","","",150,2897344,2899146,w,n,3
"","","","",151,2901152,2903600,w,n,4
"","","","",152,2914310,2915330,w,n,3
"","","","",153,2922436,2922572,w,n,1
"","","","",154,2923898,2924646,w,n,2
"","","","",155,2926584,2933418,h,n,12
"","","","",156,3065134,3066392,h,n,3
