task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,306442,802604,MPS,1,306578,306782,w,n,1
2,1008848,1520854,MPM,2,307802,312936,w,n,11
3,1595416,1841848,G,3,316132,317900,w,n,4
4,1920082,2407946,NMM,4,333200,334492,w,n,4
5,2471358,2968098,NMS,5,336022,341564,w,n,15
"","","","",6,357170,357612,w,n,2
"","","","",7,360808,362372,w,n,5
"","","","",8,364480,365670,w,n,3
"","","","",9,367030,367778,w,n,2
"","","","",10,1014424,1017178,w,n,8
"","","","",11,1017960,1018844,w,n,3
"","","","",12,1019864,1021054,w,n,4
"","","","",13,1022754,1022890,w,n,1
"","","","",14,1025406,1031254,w,n,14
"","","","",15,1034722,1037646,w,n,8
"","","","",16,1048084,1048220,w,n,1
"","","","",17,1049954,1050056,w,n,1
"","","","",18,1065832,1065934,w,n,1
"","","","",19,1071238,1071306,w,n,1
"","","","",20,1074298,1074842,w,n,2
"","","","",21,1078072,1078718,w,n,2
"","","","",22,1079534,1083512,w,n,7
"","","","",23,1087218,1089938,w,n,5
"","","","",24,1093848,1095140,w,n,4
"","","","",25,1098200,1100444,w,n,4
"","","","",26,1101396,1101668,w,n,1
"","","","",27,1104354,1105884,w,n,4
"","","","",28,1111460,1112650,w,n,3
"","","","",29,1116560,1118668,w,n,5
"","","","",30,1124142,1125536,w,n,3
"","","","",31,1126998,1134274,w,n,16
"","","","",32,1140462,1141346,w,n,3
"","","","",33,1143624,1144644,w,n,2
"","","","",34,1149880,1150492,w,n,3
"","","","",35,1153858,1154640,w,n,3
"","","","",36,1156544,1156646,w,n,1
"","","","",37,1159196,1159672,w,n,2
"","","","",38,1173442,1176706,w,n,7
"","","","",39,1177862,1179086,w,n,3
"","","","",40,1180684,1182486,w,n,6
"","","","",41,1188776,1192414,w,n,11
"","","","",42,1194896,1195542,w,n,2
"","","","",43,1198466,1198636,w,n,1
"","","","",44,1201152,1203668,w,n,5
"","","","",45,1204926,1205742,w,n,3
"","","","",46,1206898,1211692,w,n,10
"","","","",47,1212678,1213800,w,n,3
"","","","",48,1216928,1217098,w,n,1
"","","","",49,1218084,1218152,w,n,1
"","","","",50,1220056,1221178,w,n,3
"","","","",51,1232024,1232568,w,n,2
"","","","",52,1235764,1236274,w,n,2
"","","","",53,1238008,1239640,w,n,4
"","","","",54,1241374,1244128,w,n,10
"","","","",55,1245760,1247426,w,n,5
"","","","",56,1248514,1252186,w,n,11
"","","","",57,1256130,1256470,w,n,2
"","","","",58,1259700,1259768,w,n,1
"","","","",59,1260856,1262148,w,n,3
"","","","",60,1265514,1266568,w,n,3
"","","","",61,1271634,1272994,w,n,3
"","","","",62,1276292,1277924,w,n,5
"","","","",63,1283568,1285812,w,n,6
"","","","",64,1286968,1288022,w,n,3
"","","","",65,1290640,1292612,w,n,4
"","","","",66,1294992,1295060,w,n,1
"","","","",67,1296590,1296726,w,n,1
"","","","",68,1297814,1298936,w,n,3
"","","","",69,1301520,1301928,w,n,2
"","","","",70,1303526,1303900,w,n,1
"","","","",71,1308558,1309850,w,n,4
"","","","",72,1315358,1316276,w,n,3
"","","","",73,1326918,1334432,w,n,18
"","","","",74,1335452,1338206,w,n,6
"","","","",75,1345754,1345992,w,n,1
"","","","",76,1347998,1351398,w,n,9
"","","","",77,1353506,1357280,w,n,9
"","","","",78,1359150,1359218,w,n,1
"","","","",79,1364658,1367786,w,n,7
"","","","",80,1372274,1378292,w,n,17
"","","","",81,1379890,1380434,w,n,2
"","","","",82,1382440,1382882,w,n,2
"","","","",83,1390158,1393184,w,n,7
"","","","",84,1395190,1395224,w,n,1
"","","","",85,1400902,1404472,w,n,12
"","","","",86,1408586,1411374,w,n,6
"","","","",87,1414944,1419874,w,n,14
"","","","",88,1424022,1424430,w,n,2
"","","","",89,1425824,1427286,w,n,4
"","","","",90,1429632,1433780,w,n,14
"","","","",91,1435480,1435616,w,n,1
"","","","",92,1437826,1439254,w,n,4
"","","","",93,1441736,1441906,w,n,1
"","","","",94,1443232,1444626,w,n,5
"","","","",95,1446530,1449148,w,n,7
"","","","",96,1450270,1451800,w,n,3
"","","","",97,1454316,1459416,w,n,13
"","","","",98,1462782,1463938,w,n,4
"","","","",99,1465842,1469956,w,n,10
"","","","",100,1472540,1473526,w,n,3
"","","","",101,1473696,1473968,f,n,.
"","","","",102,1484236,1485902,w,n,3
"","","","",103,1486990,1489200,w,n,5
"","","","",104,1492192,1495354,w,n,9
"","","","",105,1495558,1496102,f,n,.
"","","","",106,1498958,1499774,w,n,3
"","","","",107,1502766,1506744,w,n,13
"","","","",108,1508716,1512796,w,n,12
"","","","",109,1514190,1518304,w,n,13
"","","","",110,1520446,1520786,w,n,1
"","","","",111,1926066,1932050,w,n,18
"","","","",112,1940380,1941978,w,n,4
"","","","",113,1944902,1954592,w,n,28
"","","","",114,1957482,1957958,w,n,2
"","","","",115,1959488,1959556,w,n,1
"","","","",116,1961562,1965370,w,n,11
"","","","",117,1966526,1972408,w,n,15
"","","","",118,1973700,1979174,w,n,14
"","","","",119,1980160,1980364,w,n,1
"","","","",120,1982234,1988558,w,n,16
"","","","",121,1989578,1989612,w,n,1
"","","","",122,1992468,1999914,w,n,18
"","","","",123,2004572,2011406,w,n,14
"","","","",124,2013038,2021674,w,n,19
"","","","",125,2023884,2025448,w,n,3
"","","","",126,2027624,2030888,w,n,11
"","","","",127,2035716,2036498,w,n,2
"","","","",128,2038708,2041904,w,n,10
"","","","",129,2045066,2049486,w,n,8
"","","","",130,2052308,2053634,w,n,4
"","","","",131,2060910,2062270,w,n,4
