task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,340238,840888,MPM,1,366146,367200,w,n,3
2,886788,1398760,MPS,2,371960,378352,w,n,13
3,1480297,1625472,G,3,380562,381650,w,n,3
4,1707077,2206906,NMM,4,434690,435676,w,n,3
5,2250188,3544443,NMS,5,439450,439586,w,n,1
"","","","",6,441388,444822,w,n,4
"","","","",7,473450,475898,w,n,6
"","","","",8,477768,480828,w,n,8
"","","","",9,485928,487560,h,n,2
"","","","",10,497250,497420,h,n,1
"","","","",11,511020,513570,w,n,6
"","","","",12,516800,519180,w,n,7
"","","","",13,521696,521798,w,n,1
"","","","",14,526966,529006,w,n,6
"","","","",15,532848,533018,w,n,1
"","","","",16,541076,543252,w,n,5
"","","","",17,544918,545088,w,n,1
"","","","",18,548828,550596,w,n,4
"","","","",19,552942,553112,w,n,1
"","","","",20,554506,558518,w,n,9
"","","","",21,561136,563448,w,n,6
"","","","",22,584256,584970,f,n,.
"","","","",23,586636,586806,h,n,1
"","","","",24,593062,594830,w,n,4
"","","","",25,606084,606730,w,n,2
"","","","",26,610844,612952,h,n,3
"","","","",27,632774,633012,w,y,1
"","","","",28,648006,649366,w,n,3
"","","","",29,655452,658410,w,n,5
"","","","",30,661912,663136,w,n,2
"","","","",31,667182,669970,w,n,5
"","","","",32,680238,685270,w,n,11
"","","","",33,688602,689350,w,n,2
"","","","",34,691424,691798,w,n,1
"","","","",35,693260,705568,w,n,24
"","","","",36,705772,705942,f,n,.
"","","","",37,721650,723792,w,n,3
"","","","",38,728450,743444,w,n,23
"","","","",39,752522,753610,w,n,2
"","","","",40,761260,768910,w,n,12
"","","","",41,777036,781490,w,n,10
"","","","",42,785910,789786,w,n,7
"","","","",43,796450,808588,w,n,22
"","","","",44,810900,811512,w,n,2
"","","","",45,815082,825282,w,n,16
"","","","",46,832082,832252,w,n,1
"","","","",47,837012,840888,w,n,8
"","","","",48,886788,888658,w,n,5
"","","","",49,1013370,1017178,h,n,6
"","","","",50,1138728,1141108,h,n,3
"","","","",51,1149132,1152634,h,n,5
"","","","",52,1194590,1199554,h,n,7
"","","","",53,1213902,1217132,h,n,6
"","","","",54,1224442,1229576,w,n,13
"","","","",55,1240456,1250486,w,n,23
"","","","",56,1256504,1256674,w,n,1
"","","","",57,1262658,1268472,w,n,11
"","","","",58,1283126,1286458,w,n,8
"","","","",59,1289212,1307266,w,n,38
"","","","",60,1315732,1315936,h,n,1
"","","","",61,1375946,1381862,h,n,6
"","","","",62,1384242,1384718,h,n,1
"","","","",63,1387268,1387846,h,n,1
"","","","",64,1391552,1396380,h,n,8
"","","","",65,1712070,1744574,w,n,64
"","","","",66,1747022,1757664,w,n,19
"","","","",67,1759398,1764362,w,n,7
"","","","",68,1766232,1773270,w,n,14
"","","","",69,1776432,1778608,w,n,5
"","","","",70,1779662,1782654,w,n,7
"","","","",71,1789216,1791086,w,n,5
"","","","",72,1793398,1797988,w,n,10
"","","","",73,1801286,1804074,w,n,6
"","","","",74,1810330,1812438,w,n,6
"","","","",75,1813832,1815804,w,n,3
"","","","",76,1819850,1823522,w,n,7
"","","","",77,1825494,1828146,w,n,7
"","","","",78,1830016,1835728,w,n,10
"","","","",79,1838788,1841780,w,n,6
"","","","",80,1843276,1843378,w,n,1
"","","","",81,1845928,1846574,w,n,2
"","","","",82,1850926,1854598,w,n,9
"","","","",83,1856400,1864254,w,n,14
"","","","",84,1866974,1884416,w,n,34
"","","","",85,1892780,1894548,w,n,5
"","","","",86,1899308,1916138,w,n,34
"","","","",87,1920184,1921748,w,n,3
"","","","",88,1924332,1929126,w,n,8
"","","","",89,1930316,1931234,w,n,3
"","","","",90,1936164,1942964,w,n,13
"","","","",91,1949594,1953130,w,n,9
"","","","",92,1954456,1961596,w,n,16
"","","","",93,1963500,1969858,w,n,13
"","","","",94,1984716,1988490,w,n,6
"","","","",95,2002974,2024700,w,n,36
"","","","",96,2033506,2036464,w,n,2
"","","","",97,2040170,2041802,w,n,4
"","","","",98,2043502,2043672,w,n,1
"","","","",99,2044930,2045168,w,n,1
"","","","",100,2049724,2067166,w,n,36
"","","","",101,2079746,2081718,h,n,4
"","","","",102,2086614,2086988,h,n,1
"","","","",103,2121260,2131664,w,n,21
"","","","",104,2136900,2153254,w,n,24
"","","","",105,2156416,2165868,w,n,17
"","","","",106,2169234,2172634,w,n,7
"","","","",107,2179026,2184670,w,n,8
"","","","",108,2188886,2198916,w,n,21
"","","","",109,2200412,2205750,w,n,9
"","","","",110,2257634,2278204,w,n,34
"","","","",111,2283032,2289458,w,n,14
"","","","",112,2294320,2306492,w,n,25
"","","","",113,2310504,2321384,w,n,12
"","","","",114,2327402,2336072,w,n,18
"","","","",115,2347156,2357492,w,n,23
"","","","",116,2359872,2372180,w,n,23
"","","","",117,2373506,2375512,w,n,2
"","","","",118,2376702,2377994,w,n,2
"","","","",119,2380238,2383978,w,n,4
"","","","",120,2395878,2401386,w,n,6
"","","","",121,2403596,2420188,w,n,22
"","","","",122,2426070,2435556,w,n,14
"","","","",123,2437732,2451332,w,n,20
"","","","",124,2453848,2467788,w,n,7
"","","","",125,2470100,2473704,w,n,5
"","","","",126,2479824,2488460,w,n,9
"","","","",127,2491044,2491282,w,n,1
"","","","",128,2493560,2494682,w,n,1
"","","","",129,2496858,2500836,w,n,3
"","","","",130,2503080,2507500,w,n,4
"","","","",131,2511682,2519740,w,n,20
"","","","",132,2521712,2533136,w,n,24
"","","","",133,2536570,2545648,w,n,4
"","","","",134,2548674,2550748,w,n,2
"","","","",135,2555576,2558874,w,n,3
"","","","",136,2560472,2568394,w,n,5
"","","","",137,2575602,2575874,w,n,1
"","","","",138,2580464,2584000,w,n,3
"","","","",139,2584986,2588556,w,n,3
"","","","",140,2590256,2590596,w,n,1
"","","","",141,2592568,2592976,w,n,1
"","","","",142,2594778,2595594,w,n,2
"","","","",143,2597532,2603992,w,n,9
"","","","",144,2611812,2621672,w,n,7
"","","","",145,2623678,2623984,w,n,1
"","","","",146,2626534,2629254,w,n,1
"","","","",147,3387080,3389630,w,n,2
"","","","",148,3390616,3397042,w,n,14
