task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,401064,918544,NMS,1,450976,453798,w,n,10
2,994024,1492770,NMM,2,618528,623594,w,n,18
3,1588446,1819646,G,3,657730,663000,b,n,10
4,1890536,2396048,MPS,4,677926,683774,w,n,16
5,2455888,2946610,MPM,5,717910,720324,w,n,9
"","","","",6,771154,775846,w,n,16
"","","","",7,827424,841126,w,n,30
"","","","",8,842146,844424,w,n,5
"","","","",9,854726,865980,w,n,18
"","","","",10,896444,910044,w,n,35
"","","","",11,917762,918544,w,n,2
"","","","",12,1006400,1009494,w,n,9
"","","","",13,1012384,1018334,w,n,5
"","","","",14,1022788,1031832,w,n,19
"","","","",15,1032852,1035776,w,n,8
"","","","",16,1038088,1045670,w,n,14
"","","","",17,1048662,1050532,w,n,6
"","","","",18,1052878,1054272,w,n,3
"","","","",19,1058080,1071986,w,n,37
"","","","",20,1127508,1133458,h,n,7
"","","","",21,1154164,1158788,h,n,10
"","","","",22,1182622,1217812,w,n,86
"","","","",23,1227808,1231820,w,n,12
"","","","",24,1236818,1241918,w,n,17
"","","","",25,1245624,1246542,w,n,3
"","","","",26,1256844,1257728,w,n,3
"","","","",27,1263440,1271498,w,n,18
"","","","",28,1272620,1282140,w,n,20
"","","","",29,1283194,1301248,w,n,48
"","","","",30,1318962,1321104,h,n,3
"","","","",31,1335622,1350208,w,n,40
"","","","",32,1351466,1352316,w,n,3
"","","","",33,1353744,1356702,w,n,7
"","","","",34,1357858,1360374,w,n,7
"","","","",35,1362074,1362244,w,n,1
"","","","",36,1362414,1362550,f,n,.
"","","","",37,1373056,1374926,h,n,3
"","","","",38,1380910,1383562,w,n,8
"","","","",39,1387914,1397400,w,n,25
"","","","",40,1398862,1411850,w,n,34
"","","","",41,1456186,1457444,w,n,4
"","","","",42,1459484,1460708,w,n,4
"","","","",43,1491478,1492566,w,n,3
"","","","",44,2231692,2239546,w,n,27
"","","","",45,2456160,2458574,w,n,8
"","","","",46,2461328,2463776,w,n,8
"","","","",47,2464898,2470780,w,n,16
"","","","",48,2472820,2482986,h,n,23
"","","","",49,2495974,2508146,w,n,35
"","","","",50,2534598,2534768,h,n,1
"","","","",51,2577540,2578968,w,n,4
"","","","",52,2585496,2587876,w,n,7
"","","","",53,2590970,2593996,w,n,4
"","","","",54,2596308,2597294,w,n,3
"","","","",55,2598586,2600456,w,n,6
"","","","",56,2601986,2603856,f,n,.
"","","","",57,2613580,2614770,w,n,4
"","","","",58,2622964,2626840,w,n,8
"","","","",59,2636734,2644520,w,n,18
"","","","",60,2652034,2653190,f,n,.
"","","","",61,2682906,2683722,w,n,3
"","","","",62,2737170,2738360,h,n,4
"","","","",63,2742712,2743324,w,n,3
"","","","",64,2744548,2748832,w,n,12
"","","","",65,2749886,2749988,w,n,1
"","","","",66,2752164,2753218,w,n,3
"","","","",67,2753422,2753796,f,n,.
"","","","",68,2756924,2757434,w,n,2
"","","","",69,2759032,2759542,w,n,2
"","","","",70,2760494,2765220,w,n,16
"","","","",71,2770592,2773686,w,n,6
"","","","",72,2813228,2815166,w,n,5
"","","","",73,2816288,2820538,w,n,9
"","","","",74,2824720,2828936,w,n,16
"","","","",75,2836790,2844882,w,n,18
"","","","",76,2849778,2856816,w,n,17
"","","","",77,2858754,2869532,w,n,29
"","","","",78,2871504,2882350,w,n,30
"","","","",79,2884186,2893298,w,n,26
"","","","",80,2896324,2901900,w,n,17
"","","","",81,2906524,2913358,w,n,17
"","","","",82,2914412,2914548,w,n,1
"","","","",83,2916758,2923728,w,n,22
"","","","",84,2924510,2928794,w,n,12
"","","","",85,2930290,2945352,w,n,42
