task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,244800,749224,MPS,1,244868,245684,w,n,2
2,797096,1298086,MPM,2,245990,252348,w,n,11
3,1380706,1586576,G,3,278460,282302,w,n,9
4,1660424,2153016,NMS,4,357578,362712,w,n,16
5,2207178,2741964,NMM,5,367064,371144,w,n,9
"","","","",6,371994,375020,w,n,9
"","","","",7,797130,797742,w,n,2
"","","","",8,798388,799340,w,n,3
"","","","",9,801414,802876,w,n,3
"","","","",10,804678,807772,w,n,10
"","","","",11,810560,813892,w,n,10
"","","","",12,815286,817088,w,n,4
"","","","",13,817768,820216,w,n,5
"","","","",14,823276,827424,w,n,11
"","","","",15,830314,836332,w,n,15
"","","","",16,839392,842758,w,n,9
"","","","",17,851190,852754,w,n,3
"","","","",18,855542,861696,w,n,15
"","","","",19,866014,870196,w,n,10
"","","","",20,870536,879138,w,n,24
"","","","",21,881858,882028,w,n,1
"","","","",22,884068,899300,w,n,39
"","","","",23,901408,902054,w,n,2
"","","","",24,904536,906746,w,n,6
"","","","",25,908650,909262,w,n,2
"","","","",26,911098,914396,w,n,9
"","","","",27,915450,916028,w,n,2
"","","","",28,919394,926126,w,n,16
"","","","",29,927486,929458,w,n,6
"","","","",30,930070,933164,w,n,7
"","","","",31,935102,939250,w,n,9
"","","","",32,940236,944962,w,n,12
"","","","",33,946798,947886,w,n,3
"","","","",34,949586,954244,w,n,11
"","","","",35,954992,957202,w,n,5
"","","","",36,958392,962982,w,n,11
"","","","",37,964648,967912,w,n,7
"","","","",38,968422,971516,w,n,9
"","","","",39,972706,973318,w,n,2
"","","","",40,973964,977194,w,n,8
"","","","",41,978282,978826,w,n,1
"","","","",42,979642,990352,w,n,14
"","","","",43,998002,998172,w,n,1
"","","","",44,999022,1002252,w,n,5
"","","","",45,1003068,1006672,w,n,9
"","","","",46,1007182,1009936,w,n,6
"","","","",47,1011262,1017110,w,n,14
"","","","",48,1022040,1023162,w,n,2
"","","","",49,1029112,1032104,w,n,10
"","","","",50,1032614,1035470,w,n,8
"","","","",51,1036150,1037136,w,n,3
"","","","",52,1037884,1038530,w,n,2
"","","","",53,1039482,1045160,w,n,16
"","","","",54,1046112,1054340,w,n,22
"","","","",55,1056346,1056924,w,n,2
"","","","",56,1065900,1069436,w,n,7
"","","","",57,1070592,1070796,w,n,1
"","","","",58,1072122,1072462,w,n,1
"","","","",59,1075284,1078174,w,n,7
"","","","",60,1080928,1088918,w,n,16
"","","","",61,1090380,1094664,w,n,12
"","","","",62,1098676,1100308,w,n,4
"","","","",63,1100682,1101328,f,n,.
"","","","",64,1108468,1111086,w,n,6
"","","","",65,1112480,1115370,w,n,6
"","","","",66,1116118,1122952,w,n,16
"","","","",67,1130772,1131962,w,n,3
"","","","",68,1135940,1137844,w,n,4
"","","","",69,1141074,1145324,w,n,12
"","","","",70,1146004,1153824,w,n,14
"","","","",71,1157802,1160318,w,n,5
"","","","",72,1162917,1174666,w,n,24
"","","","",73,1175992,1176502,w,n,2
"","","","",74,1177624,1189490,w,n,30
"","","","",75,1190408,1191156,w,n,2
"","","","",76,1191700,1193298,w,n,4
"","","","",77,1193944,1200098,w,n,13
"","","","",78,1200574,1204722,w,n,10
"","","","",79,1206082,1214344,w,n,21
"","","","",80,1215126,1215840,w,n,2
"","","","",81,1216452,1217472,w,n,3
"","","","",82,1221042,1226584,w,n,13
"","","","",83,1228148,1228318,w,n,1
"","","","",84,1230018,1233282,w,n,10
"","","","",85,1234540,1235084,w,n,2
"","","","",86,1236852,1237430,w,n,2
"","","","",87,1238212,1247392,w,n,25
"","","","",88,1247970,1248990,w,n,3
"","","","",89,1253240,1254872,w,n,5
"","","","",90,1255892,1257524,w,n,4
"","","","",91,1263508,1263950,w,n,1
"","","","",92,1268812,1274048,w,n,6
"","","","",93,1274796,1276496,w,n,5
"","","","",94,1277278,1281834,w,n,6
"","","","",95,1284860,1285370,w,n,1
"","","","",96,1286798,1298086,w,n,24
"","","","",97,1690990,1697654,w,n,17
"","","","",98,1701394,1703434,w,n,6
"","","","",99,1707650,1708126,w,n,1
"","","","",100,1709724,1721964,w,n,27
"","","","",101,1722746,1726826,w,n,9
"","","","",102,1817980,1819782,w,n,6
"","","","",103,1823114,1844058,w,n,45
"","","","",104,1931982,1936776,w,n,15
"","","","",105,1937388,1940108,w,n,6
"","","","",106,1942216,1947724,w,n,12
"","","","",107,1959386,1964214,w,n,9
"","","","",108,2013650,2014126,w,y,1
"","","","",109,2015112,2015282,w,y,1
"","","","",110,2113950,2115344,h,y,2
"","","","",111,2120240,2121328,w,y,2
"","","","",112,2124116,2124830,w,y,1
"","","","",113,2128196,2128808,w,y,1
"","","","",114,2132106,2132956,w,y,1
"","","","",115,2147576,2151010,w,y,3
"","","","",116,2207246,2212040,w,n,13
"","","","",117,2212924,2213876,w,n,2
"","","","",118,2215134,2216120,w,n,3
"","","","",119,2217378,2217548,w,n,1
"","","","",120,2218500,2222580,w,n,11
"","","","",121,2223430,2224212,w,n,2
"","","","",122,2225572,2229516,w,n,13
"","","","",123,2230162,2232202,w,n,5
"","","","",124,2233154,2234616,w,n,5
"","","","",125,2235160,2237064,w,n,5
"","","","",126,2238832,2241620,w,n,9
"","","","",127,2243150,2251072,w,n,20
"","","","",128,2252024,2253384,w,n,4
"","","","",129,2254778,2260116,w,n,13
"","","","",130,2260728,2261068,w,n,1
"","","","",131,2262972,2269364,w,n,19
"","","","",132,2270656,2274702,w,n,13
"","","","",133,2276028,2280380,w,n,11
"","","","",134,2280652,2289424,w,n,23
"","","","",135,2292212,2292416,w,n,1
"","","","",136,2294014,2296904,w,n,6
"","","","",137,2300576,2302888,w,n,5
"","","","",138,2304248,2304996,w,n,2
"","","","",139,2306356,2319990,w,n,39
"","","","",140,2320398,2321928,f,n,.
"","","","",141,2327470,2331686,w,n,14
"","","","",142,2338418,2341342,w,n,10
"","","","",143,2342226,2347122,w,n,14
"","","","",144,2347598,2349366,w,n,3
"","","","",145,2351100,2359396,w,n,19
"","","","",146,2367012,2384998,w,n,48
"","","","",147,2385712,2392444,w,n,16
"","","","",148,2393668,2395742,w,n,5
"","","","",149,2401590,2406826,w,n,14
"","","","",150,2410124,2410430,w,n,1
"","","","",151,2413116,2413354,w,n,1
"","","","",152,2414612,2417808,w,n,5
"","","","",153,2421276,2422296,w,n,3
"","","","",154,2424438,2443648,w,n,40
"","","","",155,2448612,2455956,w,n,16
"","","","",156,2456942,2459390,w,n,5
"","","","",157,2460818,2468298,w,n,17
"","","","",158,2468944,2483802,w,n,34
"","","","",159,2484312,2486522,w,n,5
"","","","",160,2492268,2492880,w,n,2
"","","","",161,2494886,2501550,w,n,16
"","","","",162,2505800,2509642,w,n,11
"","","","",163,2511580,2513892,w,y,4
"","","","",164,2513926,2514674,f,y,.
"","","","",165,2530484,2532490,w,n,4
