task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,214302,710260,NMS,1,214302,710260,"",1,237388,267546,1,"","","","","","","","","","","","",1,237388,267546,n,n,n,n,1,499630,522308,y,n,1,2099568,2163692,n,y,1,661028,661844,n,y,"","","","","","","","","","","","",1,1680450,1686434,n,y,1,773874,776458,n,n,n,1,813314,815694,n,n,n,1,1719278,1723936,y,n,n,n,1,1705066,1707718,n,y,y,"","","","","","","",""
2,773874,1261638,NMM,2,773874,1261638,"",2,268702,282132,2,"","","","","","","","","","","","",2,268702,282132,n,n,n,n,2,533494,544884,y,n,2,2166378,2183650,n,y,2,663884,691390,y,y,"","","","","","","","","","","","",2,1708874,1718428,y,n,2,785400,792506,n,n,n,2,818788,820556,n,n,n,2,1725364,1726656,n,n,n,n,2,1717544,1763036,n,n,y,"","","","","","","",""
3,1262454,1533808,G,3,1544110,2032112,"",3,283832,287368,3,"","","","","","","","","","","","",3,283832,287368,n,n,n,n,3,567154,569024,n,n,3,2185180,2200174,n,y,3,692818,704344,y,y,"","","","","","","","","","","","","","","","","",3,1153450,1154266,n,n,n,3,821576,826472,n,n,n,3,1728152,1730872,y,n,n,n,3,1764464,1770074,n,n,y,"","","","","","","",""
4,1544110,2032112,MPM,4,2099568,2595832,"",4,288660,330174,4,"","","","","","","","","","","","",4,288660,330174,n,y,y,n,"","","","","",4,2205546,2214896,n,y,4,705636,710260,n,n,"","","","","","","","","","","","","","","","","",4,1156442,1189932,n,n,n,4,829022,842554,n,n,n,4,1733660,1737808,y,n,n,n,4,1775208,1778064,n,n,y,"","","","","","","",""
5,2099568,2600354,MPS,"","","","",5,331908,332928,5,"","","","","","","","","","","","",5,331908,332928,n,y,n,n,"","","","","",5,2216630,2219588,n,y,"","","","","","","","","","","","","","","","","","","","","","",5,1544110,1548972,y,n,n,5,849252,852448,n,n,n,5,1741140,1745662,y,n,n,n,5,1779730,1793364,n,n,y,"","","","","","","",""
"","","","","","","","",6,334424,335512,6,"","","","","","","","","","","","",6,334424,335512,n,y,n,n,"","","","","",6,2221866,2224110,n,y,"","","","","","","","","","","","","","","","","","","","","","",6,1689392,1707718,y,n,n,6,854794,857650,n,n,n,6,1747396,1749810,n,n,n,n,6,1795880,1887850,y,n,y,"","","","","","","",""
"","","","","","","","",7,338402,339354,7,"","","","","","","","","","","","",7,338402,339354,n,y,n,n,"","","","","",7,2225980,2226830,n,y,"","","","","","","","","","","","","","","","","","","","","","",7,1710336,1713396,n,n,n,7,859146,860880,n,n,n,7,1751136,1753312,n,n,n,n,7,1889720,1912330,n,n,y,"","","","","","","",""
"","","","","","","","",8,340816,341938,8,"","","","","","","","","","","","",8,340816,341938,n,y,n,n,"","","","","",8,2228802,2240396,n,y,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,861968,863022,n,n,n,8,1755454,1765552,y,n,n,n,8,1914778,1917226,n,n,y,"","","","","","","",""
"","","","","","","","",9,343400,344522,9,"","","","","","","","","","","","",9,343400,344522,n,y,n,n,"","","","","",9,2247196,2323322,n,y,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,864484,880226,n,n,n,9,1767796,1774698,y,n,n,n,9,1921476,1964044,n,n,y,"","","","","","","",""
"","","","","","","","",10,345916,347038,10,"","","","","","","","","","","","",10,345916,347038,n,y,n,n,"","","","","",10,2324920,2326076,n,y,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,886278,887060,n,n,n,10,1776160,1779594,n,n,n,n,10,1972272,2032112,n,n,y,"","","","","","","",""
