task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,267512,770572,MPS,1,267512,770572,"",1,267512,280024,"","","","","","","","","","","","",1,1,2608990,2611574,y,n,n,n,1,666128,713082,y,n,1,298588,340340,n,y,1,267512,280024,n,y,1,634576,649332,n,n,n,1,2549456,2571998,n,y,n,1,962676,973998,y,n,1,981410,986680,y,y,n,1,905975,906678,n,y,n,1,934388,937618,n,n,n,n,1,918170,920788,n,n,n,1,1290980,1321852,y,y,n,n,n
2,905975,1401412,MPM,2,905975,1401412,"",2,281180,291584,"","","","","","","","","","","","",2,"","","","","","","",2,717094,717230,n,n,2,341904,377808,n,y,2,281180,291584,n,y,2,689962,696762,n,n,n,2,2574684,2575738,n,n,n,2,1747498,1760928,y,n,2,995894,997662,n,n,n,2,1021972,1027004,y,n,n,2,939182,941766,n,n,n,n,2,922522,937482,n,y,n,2,1338648,1350344,n,y,n,n,n
3,1455731,1561518,G,3,1656038,2145230,"",3,294304,296004,"","","","","","","","","","","","",3,"","","","","","","",3,2246312,2260184,y,n,3,415922,417044,n,y,3,294304,296004,n,y,3,700366,711586,n,n,n,3,2641766,2680492,y,n,y,3,1990700,2005082,y,n,3,1241646,1242020,n,y,n,3,1030098,1038360,y,n,n,3,944418,957610,n,n,n,n,3,940270,970700,n,y,y,3,1354832,1390192,n,y,n,n,n
4,1656038,2145230,NMM,4,2239522,2734933,"",4,298588,340340,"","","","","","","","",1,"","","","","","","","","","","",4,2367250,2413048,y,n,4,418914,424150,n,y,4,382058,383792,n,y,4,713728,716414,n,n,n,4,2686748,2724726,n,n,y,4,2006374,2022082,y,n,4,1244264,1244638,n,y,n,4,1041386,1049138,y,n,n,4,1067702,1068926,n,n,n,n,4,975562,980356,n,y,n,4,1399440,1401412,n,y,n,n,n
5,2239522,2738360,NMS,"","","","",5,341904,377808,"","","","","","","","",2,"","","","","","","","","","","","","","","","",5,427482,454750,n,y,5,384948,386954,n,y,5,717740,720596,n,n,n,5,2733124,2734926,n,n,n,5,2122212,2145230,y,n,5,1259836,1260414,n,y,n,5,1051144,1054102,y,n,n,5,1094732,1095072,n,n,n,n,5,998444,1000416,n,y,n,5,1686944,1714552,n,y,n,n,n
"","","","","","","","",6,382058,383792,"","","","","","","","","","","","",4,"","","","","","","","","","","","",6,456314,469166,n,y,6,389572,415888,y,y,6,722874,725050,n,n,n,"","","","","","","","","","","",6,1289518,1289926,n,y,n,6,1094596,1095106,n,n,n,6,1096500,1098200,n,n,n,n,6,1006026,1020374,y,y,n,6,1717408,1719720,n,y,n,n,n
"","","","","","","","",7,384948,386954,"","","","","","","","","","","","",5,"","","","","","","","","","","","",7,471342,473518,n,y,7,417180,418574,n,y,7,745722,751332,n,n,n,"","","","","","","","","","","",7,1817538,1817912,n,y,n,7,1096500,1098404,y,n,n,7,1102178,1104626,y,n,n,n,7,1026936,1027548,n,n,y,7,1722848,1738896,n,y,n,n,n
"","","","","","","","",8,389572,415888,"","","","","","","","","","","","",6,"","","","","","","","","","","","",8,475116,475966,n,y,8,424558,427108,n,y,8,755752,757078,n,n,n,"","","","","","","","","","","","","","","","","",8,1102416,1104626,y,n,n,8,1106700,1108502,n,y,n,n,8,1037442,1038700,n,n,y,8,1777894,1787516,n,y,n,n,n
"","","","","","","","",9,415922,417044,"","","","","","","","",3,"","","","","","","","","","","","","","","","",9,478482,479026,n,y,9,436866,437852,n,y,9,759322,760580,n,n,n,"","","","","","","","","","","","","","","","","",9,1131724,1153348,y,n,n,9,1110304,1112004,n,n,n,n,9,1048968,1049478,n,n,y,9,1802136,1804890,n,y,n,n,n
"","","","","","","","",10,417180,418574,"","","","","","","","","","","","",7,"","","","","","","","","","","","",10,481066,486574,n,y,10,470016,473892,n,y,10,761600,764422,n,n,n,"","","","","","","","","","","","","","","","","",10,1155626,1160352,y,n,n,10,1113534,1115234,y,n,n,n,10,1054034,1054646,n,n,y,10,1806930,1812506,n,y,n,n,n
