task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,168844,677484,NMS,1,168844,677484,"",1,168844,212772,"","","","","","","","",1,"","","","",1,1535814,1537514,n,n,n,n,1,1795710,1804584,y,y,1,168844,212772,y,y,1,607716,640832,y,y,1,216206,223992,n,n,y,1,224366,246568,n,n,y,1,742254,747014,y,n,1,1191394,1193298,n,y,n,1,773636,774486,n,n,n,1,813042,820318,y,n,n,n,1,732054,741098,n,y,n,1,834360,837182,n,y,n,n,n
2,732054,1225836,NMM,2,732054,1225836,"",2,216206,223992,"","","","","","","","","",1,"","","",2,1540778,1563490,n,n,y,n,2,1807338,1808188,n,y,"","","","","",2,642566,644130,n,y,2,225352,227052,n,n,n,2,248098,279514,y,n,y,2,1204552,1231650,y,n,2,1196358,1198364,n,n,n,2,783904,784754,n,n,n,2,822188,827356,y,n,n,n,2,744249,756398,n,y,n,2,838372,866762,y,y,n,n,n
3,1327326,1464856,G,3,1535814,2038232,"",3,224366,225352,"","","","","","","","","","",1,"","",3,1607690,1632272,n,n,y,y,3,1813764,1815090,n,y,"","","","","",3,645660,646238,n,y,3,230350,279786,y,n,n,3,292808,362746,y,n,y,"","","","","",3,1201696,1201934,n,n,n,3,786522,787542,n,n,n,3,2190858,2227748,y,y,n,n,3,760478,775370,n,n,y,3,868020,892058,n,y,n,n,n
4,1535814,2038300,MPS,4,2190858,2686476,"",4,225352,227052,"","","","","","","","","",2,1,"","",4,1638154,1644002,y,n,y,y,4,1816824,1817606,n,y,"","","","","",4,649604,677484,n,y,4,286382,293794,n,n,y,4,368526,369580,n,n,y,"","","","","",4,2472208,2472786,n,n,n,4,789004,790194,n,n,n,4,2230366,2256036,y,n,y,y,4,781966,783972,n,n,y,4,894370,925514,y,y,n,n,n
5,2190858,2686476,MPM,"","","","",5,227052,230350,"","","","","","","","","","",1,"","",5,1647606,1648116,n,n,n,n,5,1819000,1819918,n,y,"","","","","",5,1572364,1577022,y,y,5,295460,302872,n,n,n,5,382126,456212,y,n,y,"","","","","","","","","","","",5,791622,792574,n,n,n,5,2270588,2282080,y,n,n,n,5,785638,786692,n,n,y,5,1012656,1014798,n,n,n,n,n
"","","","","","","","",6,230350,246568,"","","","","","","","","",3,1,"","",6,1648898,1649238,n,n,n,y,6,1822808,1827194,n,y,"","","","","",6,1578926,1590894,y,y,6,304742,311066,n,n,n,6,459748,480284,y,n,y,"","","","","","","","","","","",6,794410,795362,n,n,n,6,2291668,2302548,y,n,n,n,6,788222,789344,n,n,y,6,1039618,1049444,n,y,n,n,n
"","","","","","","","",7,246568,248098,"","","","","","","","","",3,"","","",7,1652944,1653896,n,n,n,y,7,1828350,1829132,n,y,"","","","","",7,1593002,1601944,n,y,7,313174,326162,y,n,n,7,483480,487152,y,n,n,"","","","","","","","","","","",7,964750,965736,n,n,n,7,2312408,2315468,n,n,n,n,7,790534,791724,n,n,y,7,1051144,1051892,n,n,n,n,n
"","","","","","","","",8,248098,279514,"","","","","","","","","",3,2,"","",8,1662056,1665184,y,n,n,y,8,1830220,1832464,n,n,"","","","","",8,1698164,1699558,n,n,8,329630,332520,n,n,n,8,490382,490790,n,n,y,"","","","","","","","","","","",8,971482,976344,y,n,n,8,2397476,2415428,y,n,n,n,8,793186,794546,n,n,y,8,1053388,1067838,y,y,n,n,n
"","","","","","","","",9,279514,279786,"","","","","","","","","",3,"","","",9,1670046,1674908,y,n,n,n,9,1913996,1926304,y,n,"","","","","",9,1790066,1792174,n,y,9,335376,342142,n,n,n,9,526796,576946,n,n,y,"","","","","","","","","","","",9,978894,979438,n,n,n,9,2422058,2423724,n,n,n,n,9,795702,801652,n,n,n,9,1078242,1085518,n,y,n,n,n
"","","","","","","","",10,286382,292808,"","","","","","","","","",4,"","","",10,1678716,1681742,y,n,n,y,"","","","","","","","","","",10,1821142,1822536,n,y,10,344182,345882,n,n,n,10,589764,599046,n,n,y,"","","","","","","","","","","",10,982362,984504,n,n,n,10,2524602,2581756,y,n,y,y,10,951014,955502,n,y,n,10,1091536,1115132,y,y,n,n,n
