task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,238952,749904,NMS,1,238952,749904,"",1,260032,269314,"","","","","","","","","","","","",1,"","","","","","","",1,1633530,1852490,y,n,1,304810,375054,y,y,1,260032,269314,n,y,1,1822672,1825528,n,n,n,1,1834130,1838210,n,n,y,1,1011126,1031084,y,n,1,860302,866864,n,n,n,1,833952,872950,y,n,n,1,2230638,2233630,n,n,n,n,1,2231794,2234820,n,n,y,1,1292646,1294482,n,n,n,n,n
2,833952,1333480,NMM,2,833952,1333480,"",2,280840,301410,"","","","","","","","","","","","",2,"","","","","","","","","","","","",2,458252,498678,y,y,2,280840,301410,n,y,2,1835660,1839026,n,n,n,2,1853000,1855108,n,n,y,2,1034654,1043970,y,n,2,868734,869550,n,n,n,2,905658,908004,n,y,n,2,2235500,2258824,n,n,n,n,2,2244102,2245020,n,n,y,"","","","","","","",""
3,1407736,1557744,G,3,1631286,2133976,"",3,304810,365704,"","","","","","","","",1,"","","","","","","","","","","","","","","","",3,503778,506566,n,y,3,365704,368084,n,y,3,1845180,1850518,n,n,n,3,1858950,1865342,n,n,y,3,1046248,1114520,y,n,3,873630,894234,n,n,n,3,911234,914736,n,y,n,3,2270418,2274974,n,n,n,n,3,2249100,2252092,n,n,y,"","","","","","","",""
4,1631286,2133976,MPS,4,2190450,2692018,"",4,365704,368084,"","","","","","","","",1,"","","",3,"","","","","","","","","","","","",4,508334,570452,y,y,4,373524,374442,n,y,4,1853884,1856978,n,n,n,4,1880030,1885912,n,n,y,4,1117648,1135090,y,n,4,895662,905114,n,y,n,4,916844,919394,n,y,n,4,2276266,2283100,n,n,n,n,4,2253486,2255798,n,n,y,"","","","","","","",""
5,2190450,2692018,MPM,"","","","",5,368084,373524,"","","","","","","","",1,"","","","","","","","","","","","","","","","",5,575892,612476,y,y,5,377944,458014,n,y,5,1862384,1866804,n,n,n,5,1889176,1893018,n,n,y,5,1239164,1333480,y,n,5,935068,955978,y,n,n,5,922080,924154,n,y,n,5,2286330,2288472,n,n,n,n,5,2258144,2271234,n,n,y,"","","","","","","",""
"","","","","","","","",6,373524,374442,"","","","","","","","",1,"","","",4,"","","","","","","","","","","","",6,621554,633012,n,y,6,1718836,1735224,n,y,6,1871190,1875644,n,n,n,6,1904408,1907842,n,n,y,6,2554726,2558602,y,n,6,966110,974372,n,n,n,6,925412,927010,n,y,n,6,2289628,2293980,n,n,n,n,6,2274532,2275178,n,n,y,"","","","","","","",""
"","","","","","","","",7,374442,375054,"","","","","","","","",1,"","","","","","","","","","","","","","","","",7,649264,651576,n,y,7,1743622,1750184,n,y,7,1882648,1903558,n,n,y,7,1909338,1911990,n,n,y,7,2563634,2575874,y,n,7,1191258,1204994,y,n,n,7,928132,931396,n,y,n,7,2295714,2300848,n,n,n,n,7,2276266,2280652,n,n,y,"","","","","","","",""
"","","","","","","","",8,377944,458014,"","","","","","","","","","","","",5,"","","","","","","","","","","","",8,656166,749904,n,y,8,1753312,1754536,n,y,8,1907230,1908998,n,n,n,8,1918994,1925896,n,n,y,8,2579036,2582334,y,n,8,1211318,1216520,y,n,n,8,959548,981444,y,n,n,8,2306798,2310164,n,n,n,n,8,2282998,2344810,n,n,y,"","","","","","","",""
"","","","","","","","",9,458252,498678,"","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","",9,1910970,1918620,n,n,y,9,1927698,1930520,n,n,y,"","","","","",9,1217642,1218084,n,n,n,9,986204,988142,n,n,n,9,2312986,2315128,n,n,n,n,9,2348108,2361776,n,n,y,"","","","","","","",""
"","","","","","","","",10,503778,506566,"","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","",10,1921000,1927154,n,n,n,10,1939802,1944188,n,n,y,"","","","","",10,1227196,1233724,n,n,n,10,990284,992086,n,n,n,10,2316556,2319582,n,n,n,n,10,2373982,2377518,n,n,y,"","","","","","","",""
