task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,401064,918544,NMS,1,401064,918544,"",1,401064,446386,"","","","","","","","",1,"","","","",1,623934,646034,n,y,n,n,"","","","","",1,401064,446386,n,y,1,454002,615706,n,y,1,1890536,1951770,n,n,n,1,2111332,2128026,n,n,n,"","","","","",1,1233894,1234234,n,n,n,1,1077120,1080486,n,n,n,1,994024,1001402,n,n,n,n,1,1012826,1015478,n,n,y,"","","","","","","",""
2,994024,1492770,NMM,2,994024,1492770,"",2,454002,615706,"","","","","","","","","","","","",1,2,649230,651576,n,n,n,n,"","","","","",2,684284,717502,n,y,2,721684,768264,n,y,2,1958638,2018070,n,n,n,2,2188580,2218840,n,n,n,"","","","","",2,2458608,2461498,y,y,n,2,1082730,1091196,n,n,n,2,1003884,1041794,y,n,y,n,2,1054306,1055428,n,n,n,"","","","","","","",""
3,1588446,1819646,G,3,1890536,2396048,"",3,623934,646034,1,"","","","","","","","","","","","",3,664972,677416,n,n,n,n,"","","","","",3,2240056,2264162,n,y,3,2079950,2081072,n,y,3,2024360,2025074,n,n,n,3,2222274,2222784,n,y,n,"","","","","",3,2463878,2465952,y,n,n,3,1096636,1101770,n,y,n,3,1046044,1080214,y,n,y,n,3,1247698,1250520,n,n,y,"","","","","","","",""
4,1890536,2396048,MPS,4,2455888,2946610,"",4,649230,651576,2,"","","","","","","","","","","","",4,776458,867748,y,n,n,n,"","","","","",4,2272016,2290852,n,y,4,2082942,2110822,n,y,4,2030310,2030786,n,n,n,"","","","","","","","","","","",4,2470950,2472310,n,n,n,4,1103878,1110984,n,y,n,4,1248378,1255926,n,n,n,n,4,1255824,1256436,n,n,y,"","","","","","","",""
5,2455888,2946610,MPM,"","","","",5,664972,677416,3,"","","","","","","","","","","","",5,873256,873800,n,n,n,n,"","","","","",5,2293198,2296564,n,y,5,2129284,2170696,n,y,5,2035954,2079134,n,n,y,"","","","","","","","","","","",5,2473772,2473840,n,y,n,5,1122340,1126318,n,n,n,5,1259224,1295094,y,n,y,n,5,1349970,1353370,n,n,y,"","","","","","","",""
"","","","","","","","",6,684284,717502,"","","","","","","","",2,"","","","",6,883354,906848,y,n,n,n,"","","","","",6,2299488,2359056,n,y,6,2182256,2188002,n,n,6,2178380,2187016,n,n,n,"","","","","","","","","","","",6,2476186,2476288,n,y,n,6,1128188,1128358,n,y,n,6,1360850,1362686,n,n,n,n,6,1355376,1363094,n,n,y,"","","","","","","",""
"","","","","","","","",7,721684,768264,"","","","","","","","","","","","",2,7,910418,918544,y,n,n,n,"","","","","",7,2361300,2361776,n,y,"","","","","","","","","","","","","","","","","","","","","","",7,2478770,2478838,n,y,n,7,1130670,1131962,n,y,n,7,1365848,1373532,n,n,n,n,7,1365338,1366766,n,n,y,"","","","","","","",""
"","","","","","","","",8,776458,867748,4,"","","","","","","","","","","","","","","","","","","","","","","","",8,2364870,2395028,n,y,"","","","","","","","","","","","","","","","","","","","","","",8,2480708,2480810,n,y,n,8,1137946,1138150,n,n,n,8,1375776,1381352,y,n,y,n,8,1414536,1415590,n,n,n,"","","","","","","",""
"","","","","","","","",9,873256,873800,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,2484516,2490194,n,n,n,9,1139646,1139816,n,y,n,9,1383902,1391042,y,n,n,n,9,1417018,1417154,n,n,n,"","","","","","","",""
"","","","","","","","",10,883354,906848,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,2494716,2494852,n,y,n,10,1142298,1142502,n,y,n,10,1397876,1413924,y,n,y,n,10,1418956,1420044,n,n,n,"","","","","","","",""
"","","","","","","","",11,910418,918544,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,2498864,2499408,n,n,n,11,1154776,1155694,n,y,n,11,2767124,2772258,y,n,n,n,11,1422016,1422118,n,n,n,"","","","","","","",""
"","","","","","","","",12,994024,1001402,"","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12,2502570,2502638,n,n,y,12,1157258,1220804,y,y,y,12,2784804,2795786,n,n,y,n,12,1423240,1425722,n,n,n,"","","","","","","",""
"","","","","","","","",13,1003884,1012826,"","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,2505018,2505154,n,n,y,13,1226210,1247460,y,n,n,13,2811494,2817886,y,n,y,n,13,1427660,1429190,n,n,n,"","","","","","","",""
"","","","","","","","",14,1012826,1015478,"","","","","",2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14,2587842,2590936,n,n,n,14,1298086,1298188,n,n,y,14,2822578,2827134,y,n,y,n,14,1431026,1436772,n,n,n,"","","","","","","",""
"","","","","","","","",15,1015478,1041794,"","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,2594506,2595594,n,y,n,15,1318282,1318520,n,y,n,15,2829922,2865622,y,n,y,n,15,1438506,1440342,n,n,n,"","","","","","","",""
"","","","","","","","",16,1046044,1054306,"","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,2644588,2645846,n,y,n,16,1320492,1352214,y,n,n,16,2870042,2877556,y,n,y,n,16,1442246,1451426,n,n,n,"","","","","","","",""
"","","","","","","","",17,1054306,1055428,"","","","","",3,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17,2652816,2657474,n,y,n,17,2516918,2519298,n,n,n,17,2882860,2898466,y,n,y,n,17,1453092,1455608,n,n,n,"","","","","","","",""
"","","","","","","","",18,1055428,1076984,"","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,2743494,2745432,y,y,n,18,2522358,2526642,n,n,y,18,2902308,2915534,y,n,y,n,18,1457546,1458192,n,n,n,"","","","","","","",""
"","","","","","","","",19,1076984,1077120,"",1,"","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,2748934,2753456,y,n,n,19,2544900,2552516,n,n,n,"","","","","","","",19,1460878,1468120,n,n,n,"","","","","","","",""
