task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,330446,861900,MPS,1,330446,861900,"",1,330446,334492,"","","","","","","","",1,"","","","",1,633862,655010,y,n,y,n,1,2754068,2758080,n,n,1,330446,334492,n,y,1,500344,503234,n,y,1,373660,376278,n,n,n,1,380052,418540,n,n,y,1,935782,945676,n,n,1,1156748,1158958,n,n,n,1,1116186,1187994,y,n,n,1,905012,919224,y,n,n,n,1,905012,906814,n,n,y,1,1014560,1029214,n,y,n,n,n
2,904706,1414536,MPM,2,904706,1414536,"",2,339014,347480,"","","","","","","","",2,"","","","",2,656098,661742,n,n,y,n,"","","","","",2,339014,347480,n,y,2,509218,516970,n,y,2,381480,385764,n,n,n,2,437954,479230,n,n,y,2,978928,1000450,y,n,"","","","","","",2,1198126,1207544,y,n,n,2,924018,924970,n,n,n,n,2,918918,932450,n,y,y,2,1035878,1039142,n,n,n,n,y
3,1473254,1664436,G,3,1718088,2227714,"",3,373660,376278,"","","","","","","","","",1,"","","",3,663238,668236,n,n,y,n,"","","","","",3,2519706,2552992,y,y,3,520234,522648,n,y,3,394774,405926,n,n,n,3,498984,506872,n,n,y,3,1079636,1088680,y,n,"","","","","","",3,1217744,1226278,y,n,n,3,956794,977500,y,n,n,n,3,946696,954822,n,y,n,3,1044718,1046248,n,n,n,n,y
4,1718088,2227714,NMM,4,2267052,2726664,"",4,380052,381480,"","","","","","","","","","",1,"","",4,671228,675240,y,n,y,n,"","","","","",4,2558432,2565708,n,y,4,525810,529278,n,y,4,413916,419084,n,n,n,4,523192,578612,y,n,y,4,1094834,1097928,n,n,"","","","","","",4,1277448,1294720,y,n,n,4,1032886,1038666,y,n,n,n,4,956182,960466,n,n,y,4,1052266,1054034,n,n,n,n,y
5,2267052,2758080,NMS,5,2742134,2758080,"",5,381480,385764,"","","","","","","","","",2,1,"","",5,2267052,2275042,y,n,n,n,"","","","","",5,2575160,2586312,n,y,5,546618,554710,n,y,5,420172,433432,n,n,y,5,584052,618086,n,n,y,5,1229066,1244264,y,n,"","","","","","",5,1314610,1322906,y,n,n,5,1041318,1046180,y,n,n,n,5,968456,969068,n,n,y,5,1061786,1063486,n,n,n,n,y
"","","","","","","","",6,385764,394774,"","","","","","","","","","",1,"","",6,2277762,2283168,y,n,n,n,"","","","","",6,2648090,2654142,n,y,6,828954,830586,n,y,6,441286,446114,n,n,n,6,619684,626892,n,n,y,6,1296828,1328346,y,n,"","","","","","",6,1335690,1337288,n,n,n,6,1048696,1054034,y,n,n,n,6,1001538,1012282,n,y,n,6,1071068,1072462,n,n,n,n,y
"","","","","","","","",7,394774,405926,"","","","","","","","","",3,1,"","",7,2289016,2301936,y,n,y,n,"","","","","",7,2660126,2681410,n,y,7,833782,836536,n,y,7,448392,449072,n,n,n,7,710498,725390,n,n,y,7,1747974,1761302,y,n,"","","","","","",7,1341028,1350786,y,n,n,7,1055666,1063656,y,n,n,n,7,1032512,1034348,n,n,y,7,1076304,1076372,n,n,n,n,y
"","","","","","","","",8,405926,413916,"","","","","","","","","","",1,"","",8,2305710,2323594,n,n,y,y,"","","","","",8,2682634,2684232,n,y,8,840174,840922,n,y,8,451928,454240,n,n,n,8,729946,734808,n,n,y,8,1872312,1878942,y,n,"","","","","","",8,1392674,1404336,y,n,n,8,1065628,1072496,y,n,n,n,8,1040672,1043324,n,n,y,8,1090754,1091740,n,n,n,n,y
"","","","","","","","",9,413916,418540,"","","","","","","","","",4,1,"","",9,2328796,2339812,y,n,y,n,"","","","","","","","","","",9,845886,849456,n,y,9,456076,460292,n,n,n,9,737494,750244,n,n,y,9,2103546,2110278,y,n,"","","","","","",9,1405390,1410286,n,n,n,9,1074468,1091230,y,n,n,n,9,1048016,1050940,n,n,y,9,1093508,1112106,n,y,n,n,n
"","","","","","","","",10,418540,419084,"","","","","","","","","",4,"","","",10,2356404,2359022,n,n,n,n,"","","","","","","","","","",10,855576,860166,n,y,10,461380,464746,n,n,n,10,751434,773636,n,n,y,10,2114324,2189226,y,n,"","","","","","",10,2193544,2201432,y,n,n,10,1364080,1375878,y,n,n,n,10,1055666,1060562,n,n,y,10,1249976,1273844,n,y,n,n,n
