task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,232424,716754,MPS,1,232424,716754,"",1,232424,232764,"","","","","","","","","",1,1,"","",1,330854,353260,n,n,y,n,"","","","","",1,368968,375122,n,y,1,416432,418302,n,y,1,232424,232764,n,n,n,1,232424,238442,n,n,y,1,825656,853468,y,n,1,918340,921910,n,y,n,1,781252,798490,n,n,n,1,968150,978214,n,n,n,n,1,967164,979030,n,n,y,1,861220,890052,n,n,y,n,n
2,781252,1262602,MPM,2,781252,1262602,"",2,232764,235586,"","","","","","","","","","",1,"","",2,1637236,1640874,y,n,n,n,"","","","","",2,380698,394094,n,y,2,420478,423776,n,y,2,235586,238816,n,n,n,2,239700,249526,n,n,y,2,912050,914226,n,n,2,925310,926466,n,y,n,2,812158,817292,n,n,n,2,988992,999804,n,n,n,n,2,986850,994568,n,n,y,2,892704,915008,n,y,n,n,n
3,1337463,1481539,G,3,1589704,1829472,"",3,235586,238442,"","","","","","","","","",2,1,"","",3,1643016,1649000,y,n,y,n,"","","","","",3,396508,396814,n,y,3,425544,430644,n,y,3,240550,243746,n,n,n,3,251362,262854,n,n,y,3,1119042,1133390,y,n,"","","","","","",3,821610,824324,n,n,n,3,1001130,1020136,y,n,n,n,3,1000348,1002388,n,n,y,3,931090,966824,n,y,n,n,n
4,1589704,1958706,NMS,4,2345456,2825672,"",4,238442,238816,"","","","","","","","","",2,"","","",4,1651074,1655256,y,n,y,n,"","","","","",4,401506,402560,n,y,4,666774,696660,n,y,4,244800,249594,n,n,n,4,269892,304844,n,n,y,4,1136586,1140768,y,n,"","","","","","",4,2743970,2749172,n,n,n,4,1175142,1190816,y,n,n,n,4,1013880,1016940,n,n,y,4,980152,986068,n,y,n,n,n
5,2335392,2825672,NMM,"","","","",5,239700,240550,"","","","","","","","","","",2,"","",5,1657194,1662192,y,n,y,n,"","","","","","","","","","","","","","","",5,251396,257448,n,n,n,5,309162,314262,n,n,n,5,1144780,1146514,n,n,"","","","","","",5,2755394,2760494,n,n,n,5,1193060,1195474,n,n,n,n,5,1169498,1171878,n,y,n,5,1025372,1117172,n,y,n,n,n
"","","","","","","","",6,240550,243746,"","","","","","","","","",3,2,"","",6,1664096,1669128,y,n,y,n,"","","","","","","","","","","","","","","",6,260236,268362,n,n,y,6,452914,506328,n,n,y,6,2510696,2519570,n,n,"","","","","","","","","","","","",6,1211624,1213290,n,n,n,n,6,1174360,1176672,n,n,y,6,1151002,1167560,n,y,n,n,n
"","","","","","","","",7,243746,244800,"","","","","","","","","","",2,"","",7,1671270,1674806,y,n,y,n,"","","","","","","","","","","","","","","",7,285430,297602,n,n,n,7,511564,539172,n,n,y,7,2521916,2527526,n,n,"","","","","","","","","","","","",7,1216180,1220940,y,n,n,n,7,1220124,1223728,n,n,y,7,1202104,1210672,n,y,n,n,n
"","","","","","","","",8,244800,249526,"","","","","","","","","",4,2,"","",8,1676404,1679736,y,n,y,n,"","","","","","","","","","","","","","","",8,299064,302396,n,n,n,8,546176,577422,n,n,n,8,2529532,2545376,n,n,"","","","","","","","","","","","",8,1222300,1227570,y,n,n,n,8,1235526,1236580,n,n,y,8,1230664,1233894,n,y,n,n,n
"","","","","","","","",9,249526,249594,"","","","","","","","","",4,"","","",9,1681708,1685686,y,n,y,n,"","","","","","","","","","","","","","","",9,303926,305150,n,n,n,9,583406,587792,n,n,y,9,2563396,2564314,n,n,"","","","","","","","","","","","",9,1236342,1238484,y,n,n,n,9,1240252,1241680,n,n,y,9,1238008,1239062,n,n,n,n,y
"","","","","","","","",10,251362,251396,"","","","","","","","","","",3,"","",10,1687488,1705032,n,n,y,n,"","","","","","","","","","","","","","","",10,455464,458422,n,n,n,10,589050,599828,n,n,y,10,2566422,2570468,n,n,"","","","","","","","","","","","",10,1240728,1243312,y,n,n,n,10,1244434,1245794,n,n,y,10,1242598,1243822,n,n,n,n,y
"","","","","","","","",11,251396,257448,"","","","","","","","","",5,3,"","",11,1706222,1717068,y,n,y,n,"","","","","","","","","","","","","","","",11,460666,463930,n,n,n,11,605710,613768,n,n,y,11,2581824,2594574,n,n,"","","","","","","","","","","","",11,1244842,1246848,y,n,n,n,11,1248004,1249160,n,n,y,11,1246644,1247358,n,n,n,n,y
"","","","","","","","",12,257448,260236,"","","","","","","","","","",3,"","",12,1719754,1722066,n,n,n,y,"","","","","","","","","","","","","","","",12,465494,468248,n,n,n,12,615128,632094,n,n,y,12,2601646,2603142,n,n,"","","","","","","","","","","","",12,1248242,1250690,y,n,n,n,12,1252186,1253444,n,n,y,12,1250452,1251302,n,n,n,n,y
"","","","","","","","",13,260236,262854,"","","","","","","","","",6,3,"","",13,1725806,1727880,n,y,n,n,"","","","","","","","","","","","","","","",13,470900,472634,n,n,n,13,634032,643416,n,n,y,"","","","","","","","","","","","","","","","","",13,1252390,1255076,y,n,n,n,13,1256810,1258068,n,n,y,13,1254430,1255790,n,n,n,n,y
"","","","","","","","",14,262854,268362,"","","","","","","","","",6,"","","",14,1730634,1733456,n,y,n,n,"","","","","","","","","","","","","","","",14,474470,481032,n,n,n,14,1591336,1628532,y,n,y,"","","","","","","","","","","","","","","","","",14,1257116,1259292,y,n,n,n,14,2433652,2445620,y,y,y,14,1259156,1259768,n,n,n,n,n
"","","","","","","","",15,269892,285430,"","","","","","","","","","",4,"","",15,1897404,1901382,y,n,y,n,"","","","","","","","","","","","","","","",15,483174,486166,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",15,1261264,1262602,n,n,n,n,15,2448408,2451842,n,n,y,15,2335392,2337160,n,n,n,n,n
"","","","","","","","",16,285430,297602,"","","","","","","","","",7,4,"","","","","","","","","","","","","","","","","","","","","","","","",16,495482,497216,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",16,2445042,2447082,y,n,n,n,16,2455718,2457486,n,n,y,16,2344028,2347190,n,y,n,n,n
"","","","","","","","",17,297602,299064,"","","","","","","","","","",4,"","","","","","","","","","","","","","","","","","","","","","","","",17,499392,508980,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",17,2449598,2453576,y,n,n,n,17,2461736,2463164,n,n,y,17,2386562,2403154,n,n,y,n,n
"","","","","","","","",18,299064,302396,"","","","","","","","","",8,4,"","","","","","","","","","","","","","","","","","","","","","","","",18,519894,522682,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",18,2456908,2460036,y,n,n,n,18,2465918,2466972,n,n,y,18,2405908,2406860,n,n,n,n,n
"","","","","","","","",19,302396,303926,"","","","","","","","","","",4,"","","","","","","","","","","","","","","","","","","","","","","","",19,525912,528564,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",19,2462348,2464864,y,n,n,n,19,2470576,2472616,n,n,y,19,2413626,2417842,n,y,n,n,n
"","","","","","","","",20,303926,304844,"","","","","","","","","",9,4,"","","","","","","","","","","","","","","","","","","","","","","","",20,531420,535602,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",20,2466326,2468910,y,n,n,n,20,2476526,2479450,n,n,y,20,2428960,2430762,n,n,n,n,n
"","","","","","","","",21,304844,305150,"","","","","","","","","",9,"","","","","","","","","","","","","","","","","","","","","","","","","",21,536894,539512,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",21,2471290,2474690,y,n,n,n,21,2610588,2612118,n,y,n,21,2446980,2447422,n,n,n,n,y
"","","","","","","","",22,309162,314262,"","","","","","","","","","",5,"","","","","","","","","","","","","","","","","","","","","","","","",22,541586,544238,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",22,2477274,2484414,y,n,n,n,22,2625616,2632144,n,n,n,22,2453202,2453882,n,n,n,n,y
"","","","","","","","",23,330854,353260,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",23,586228,587792,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",23,2572678,2579036,y,n,n,n,23,2639828,2648226,n,n,n,23,2459696,2460036,n,n,n,n,y
"","","","","","","","",24,368968,375122,"","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",24,589900,594422,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",24,2591140,2595356,y,n,n,n,24,2665362,2666144,n,n,y,24,2464524,2464898,n,n,n,n,y
"","","","","","","","",25,380698,394094,"","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","",25,596156,602990,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",25,2597396,2598722,n,n,n,n,25,2667878,2668660,n,n,y,25,2468638,2469318,n,n,n,n,y
"","","","","","","","",26,396508,396814,"","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","",26,619888,623254,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",26,2640066,2643874,n,n,n,n,26,2670530,2671312,n,n,y,26,2474656,2474962,n,n,n,n,y
"","","","","","","","",27,401506,402560,"","","","","","","","",4,"","","","","","","","","","","","","","","","","","","","","","","","","","",27,624750,632128,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",27,2644928,2649926,n,n,n,n,27,2674576,2674984,n,n,y,27,2484210,2484890,n,n,n,n,y
"","","","","","","","",28,416432,418302,"","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",28,635290,637296,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",28,2652000,2665770,y,n,y,n,28,2676446,2677194,n,n,n,28,2490432,2570502,n,y,n,n,n
"","","","","","","","",29,420478,423776,"","","","","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","",29,639846,643484,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",29,2667062,2676276,n,n,n,n,29,2683246,2683756,n,n,y,29,2578424,2579682,n,n,n,n,y
"","","","","","","","",30,425544,430644,"","","","","","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","",30,644810,645524,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",30,2680696,2683382,y,n,n,n,30,2691984,2692392,n,n,y,30,2581654,2614328,y,y,n,n,y
"","","","","","","","",31,452914,455464,"","","","","","","","","","",6,"","","","","","","","","","","","","","","","","","","","","","","","",31,1589704,1589806,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","",31,2685898,2692018,y,n,n,n,31,2700314,2724148,n,y,n,31,2619394,2632178,y,n,n,n,n
