task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,372504,926296,NMS,1,372504,926296,"",1,372572,393686,"","","","","","","","",1,"","","","",1,2328864,2329204,n,n,n,n,"","","","","",1,372572,393686,n,y,1,648244,650760,n,n,1,697170,697782,n,n,n,1,697170,703052,n,n,y,1,2782186,2803130,y,y,1,1046758,1052708,n,y,n,1,1086470,1091264,n,n,n,1,1446938,1451358,n,n,n,n,1,1405968,1413890,n,y,n,1,1002456,1044956,n,y,n,n,n
2,1002388,1523744,NMM,2,1002388,1523744,"",2,394944,404124,"","","","","","","","",2,"","","","",2,2346952,2366298,n,n,y,n,"","","","","",2,394944,404124,n,y,2,789004,813280,y,y,2,699516,702066,n,n,n,2,716414,728620,n,n,y,2,2831112,2849540,y,n,2,1213562,1218220,n,n,n,2,1098370,1099968,n,n,n,2,1453058,1456288,n,n,n,n,2,1445952,1448332,n,n,y,2,1055258,1084022,n,y,n,n,n
3,1610988,1830084,G,3,1908862,2410940,"",3,405280,407864,"","","","","","","","",3,"","","","",3,2368066,2379286,n,n,y,y,"","","","","",3,405280,407864,n,y,3,814572,839324,n,y,3,703970,717740,n,n,n,3,734638,735216,n,y,y,"","","","","",3,1240456,1243856,y,n,n,3,1107686,1111562,n,n,n,3,2560540,2575228,n,n,n,n,3,1451358,1454180,n,n,y,3,1115880,1119926,n,y,n,n,n
4,1908862,2422194,MPS,4,2470882,2975170,"",4,408884,415548,"","","","","","","","",4,"","","","",4,2380408,2380612,n,n,n,y,"","","","","",4,408884,415548,n,y,4,863158,884680,y,n,4,723316,728620,n,n,n,4,2090286,2107252,n,n,y,"","","","","",4,1273946,1277720,n,y,n,4,1119484,1120300,n,y,n,4,2576962,2579988,n,n,n,n,4,1457240,1463258,n,y,n,4,1123530,1125842,n,y,n,n,n
5,2470882,2975170,MPM,"","","","",5,417180,440096,"","","","","","","","",5,"","","","","","","","","","","","","","","","",5,417180,440096,n,y,5,902700,924834,n,n,5,730354,738786,n,n,n,5,2109734,2125442,n,n,y,"","","","","",5,2643296,2643398,n,n,n,5,1125808,1126250,n,y,n,5,2582062,2584476,n,n,n,n,5,1477164,1483284,n,y,n,5,1128188,1178440,n,y,n,y,n
"","","","","","","","",6,442476,446284,"","","","","","","","",6,"","","","","","","","","","","","","","","","",6,442476,446284,n,y,"","","","","",6,2090286,2090558,n,n,n,6,2126836,2134928,n,n,y,"","","","","",6,2645506,2648396,y,y,n,6,1342422,1344564,n,n,n,6,2587196,2587366,n,n,n,n,6,1484372,1491886,n,n,y,6,1183846,1210264,n,y,n,n,n
"","","","","","","","",7,450364,460496,"","","","","","","","",7,"","","","","","","","","","","","","","","","",7,450364,460496,n,y,"","","","","",7,2100316,2107558,n,n,n,7,2144108,2148630,n,n,y,"","","","","",7,2651694,2658018,y,n,n,7,1350004,1351874,n,n,n,7,2590222,2592398,n,n,n,n,7,2560574,2560982,n,n,n,7,1223422,1235866,n,y,n,n,n
"","","","","","","","",8,464950,472294,"","","","","","","","",8,"","","","","","","","","","","","","","","","",8,464950,472294,n,y,"","","","","",8,2110312,2125680,n,n,n,8,2151486,2170492,n,n,y,"","","","","",8,2664988,2669816,y,y,n,8,1353744,1356566,n,n,n,8,2595016,2600524,n,n,n,n,8,2574548,2576860,n,n,y,8,1250350,1269390,n,y,n,n,n
"","","","","","","","",9,473790,512210,"","","","","","","","",9,"","","","","","","","","","","","","","","","",9,473790,512210,n,y,"","","","","",9,2128196,2135506,n,n,n,9,2172600,2189668,n,n,y,"","","","","",9,2677500,2677840,n,n,n,9,1364964,1372342,y,n,n,9,2621842,2627724,n,n,y,n,9,2579104,2579988,n,n,y,9,1282038,1286866,n,y,n,n,n
"","","","","","","","",10,514012,525232,"","","","","","","","",10,"","","","","","","","","","","","","","","","",10,514012,525232,n,y,"","","","","",10,2146930,2148630,n,n,n,10,2199154,2204866,n,n,y,"","","","","",10,2680118,2690896,y,n,n,10,1379482,1382678,y,n,n,10,2629390,2632314,n,n,n,n,10,2584476,2584782,n,n,y,10,1288498,1338818,n,y,n,n,n
