task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,322286,833204,MPS,1,322286,833204,"",1,364650,365602,"","","","","","","","","","","","",1,1,1777962,1787380,n,n,n,y,1,1745560,1783096,y,n,1,380052,383384,n,y,1,364650,365602,n,y,1,558892,741404,y,n,y,1,581638,756859,n,n,y,1,1056924,1075488,y,n,1,1134886,1137198,n,y,n,1,1015274,1020306,y,y,n,1,883082,901306,n,n,n,n,1,883082,883524,n,n,y,1,1214412,1227944,n,y,n,n,n
2,881892,1385976,MPM,2,881892,1385976,"",2,380052,383384,"","","","","","","","",1,"","","","",2,1789930,1792038,n,n,n,y,2,1807440,1847560,y,n,2,384914,392292,n,y,2,456912,459394,n,y,2,750006,764558,n,n,y,2,764558,772106,n,n,y,2,1108298,1130500,y,n,2,1292476,1292938,n,y,n,2,1023604,1024896,n,y,n,2,902530,903448,n,n,n,n,2,886550,888148,n,n,y,2,1229168,1247086,n,y,n,n,n
3,1452072,1672664,G,3,1744540,2212380,"",3,384914,392292,"","","","","","","","",2,"","","","",3,1794758,1796798,n,n,n,n,3,1867620,2006952,y,n,3,394162,406640,n,y,3,573104,577524,n,y,3,766020,772106,n,n,n,3,773194,776220,n,n,y,3,1149132,1168036,y,n,3,1300942,1302574,n,y,n,3,1032920,1038292,y,n,n,3,907902,911166,y,n,n,n,3,890902,891752,n,n,y,3,1253444,1299126,n,y,n,n,n
4,1744540,2262020,NMS,4,2299794,2817546,"",4,394162,406640,"","","","","","","","",3,"","","","",4,1798600,1800266,n,n,n,y,4,2053566,2063630,n,n,4,410550,416194,n,y,4,660314,660960,n,n,4,773976,776220,n,n,n,4,785264,833204,y,n,y,4,1205470,1211386,y,n,4,1315494,1317092,y,y,n,4,1040434,1048254,y,n,n,4,943092,944996,n,n,n,n,4,893724,895730,n,n,y,4,1347794,1371492,n,y,n,n,n
5,2299794,2817546,NMM,"","","","",5,410550,416194,"","","","","","","","",4,"","","","",5,2133976,2141456,y,n,n,n,5,2066248,2070600,y,y,5,419458,425918,n,y,5,776866,778056,n,n,5,778702,817428,n,n,y,5,1851436,1863846,n,n,y,5,2300066,2310470,y,n,5,1334976,1335792,n,y,n,5,1078514,1081574,n,y,n,5,949620,955400,y,n,n,n,5,900218,908276,n,y,y,5,2690828,2740604,y,y,n,n,n
"","","","","","","","",6,419458,425918,"","","","","","","","",5,"","","","",6,2143598,2152696,y,n,n,n,6,2071688,2072810,n,n,6,431800,438634,n,y,"","","","","",6,823582,833204,n,n,n,6,1884416,1888428,n,n,y,6,2315978,2326688,y,n,6,1341844,1343340,y,y,n,6,1083512,1084770,n,y,n,6,957066,963288,y,n,n,n,6,912458,941970,n,y,n,6,2762262,2767872,n,y,n,n,n
"","","","","","","","",7,431800,438634,"","","","","","","","",6,"","","","",7,2156790,2171716,y,n,n,n,7,2084540,2118846,y,n,7,441218,456912,n,y,"","","","","",7,1847662,1860276,n,n,y,7,1889584,1893868,n,n,y,7,2696608,2697322,n,n,7,1358742,1362142,n,y,n,7,1086980,1104558,y,y,n,7,964614,976038,y,n,n,n,7,944384,944826,n,n,y,7,2774128,2801226,n,y,n,n,n
"","","","","","","","",8,441218,456912,"","","","","","","","",7,"","","","",8,2180284,2181236,n,n,n,y,8,2175762,2190926,y,y,8,460258,465290,n,y,"","","","","",8,1862112,1863846,n,n,n,8,1906414,1909644,n,n,n,8,2737782,2738326,n,n,8,2790482,2796160,n,n,n,8,1185342,1200676,y,n,n,8,977092,982906,y,n,n,n,8,946560,951592,n,n,y,8,2812412,2812650,n,n,n,n,n
"","","","","","","","",9,456912,459394,"","","","","","","","","","","","",2,9,2183174,2183752,n,n,n,y,9,2193408,2262020,y,n,9,466684,467840,n,y,"","","","","",9,1866294,1872822,y,n,n,9,1910698,1913962,n,n,y,9,2741930,2758046,y,n,"","","","","","",9,1245250,1248276,y,y,n,9,984062,986272,n,y,n,n,9,956488,958222,n,n,y,"","","","","","","",""
"","","","","","","","",10,460258,465290,"","","","","","","","",8,"","","","",10,2185724,2186200,n,n,n,y,"","","","","",10,1817742,1824644,n,y,"","","","","",10,1874760,1883668,n,n,y,"","","","","","","","","","","","","","","","","",10,2560778,2563838,y,n,n,10,988890,992494,n,y,n,n,10,964614,970190,n,n,y,"","","","","","","",""
