task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,335308,817360,NMS,1,335308,817360,"",1,335308,339694,"","","","","","","","",1,"","","","","","","","","","","",1,566134,580312,y,n,1,335308,339694,n,y,1,399874,401200,n,y,1,351798,353634,n,n,n,1,351798,383180,y,n,n,1,1097758,1099050,n,n,1,1071748,1078480,n,y,n,1,879240,889678,n,n,n,1,1282276,1285574,n,n,n,n,1,1280270,1293156,n,n,y,1,1011398,1015546,n,n,n,n,n
2,879240,1354458,NMM,2,879240,1354458,"",2,351798,353634,"","","","","","","","","",1,1,"","","","","","","","","",2,673812,675376,n,n,2,365092,369648,n,y,2,404430,404906,n,y,2,445570,457946,n,n,n,2,628558,689010,y,y,n,2,1144270,1144474,n,n,2,2262122,2269058,n,y,y,2,890766,894744,n,n,n,2,1289858,1302064,n,n,y,n,2,1300704,1304138,n,n,y,2,1026052,1027888,n,n,n,n,n
3,1415930,1635434,G,3,1723154,2210952,"",3,353634,365092,"","","","","","","","","","",1,"","","","","","","","","","","","","","",3,370974,373354,n,y,3,407966,433840,y,y,3,597584,612170,y,n,n,3,695776,731034,y,n,n,3,1161542,1162834,n,n,3,2273274,2273376,n,y,n,3,895934,904978,n,n,n,3,1303118,1354458,n,n,y,n,3,1317602,1319676,n,n,y,3,1028976,1030302,n,n,n,n,n
4,1723154,2210952,MPS,4,2262122,2732614,"",4,365092,369648,"","","","","","","","",2,"",1,"","","","","","","","","","","","","","",4,383554,394978,n,y,4,588132,588506,n,y,4,1761710,1768544,y,n,n,4,737392,739874,n,n,n,4,1196834,1198568,n,n,4,2277796,2287928,n,n,n,4,914294,921230,n,n,n,4,2687530,2705040,y,n,y,n,4,1325728,1327292,n,n,y,4,1031730,1063554,n,y,n,n,n
5,2262122,2732614,MPM,"","","","",5,369648,370974,"","","","","","","","","","",1,"","","","","","","","","","","","","","",5,469404,487424,y,y,5,708186,708730,n,y,5,1773338,1775752,n,n,n,5,1738114,1745254,y,n,n,5,1209176,1215500,n,n,5,2301766,2302786,n,n,n,5,922896,923950,n,y,n,"","","","","","","",5,1333208,1350990,n,n,y,5,1085790,1110984,n,y,n,n,n
"","","","","","","","",6,370974,373354,"","","","","","","","",3,"",1,"","","","","","","","","","","","","","",6,501160,502520,n,n,6,724608,725084,n,y,6,1784898,1787414,n,n,n,6,1749844,1756100,y,n,n,6,1268132,1269084,n,n,6,2343042,2345456,n,n,n,6,925106,927452,n,y,n,"","","","","","","",6,2732376,2732716,n,n,n,6,1120776,1145732,n,y,n,n,n
"","","","","","","","",7,373354,383180,"","","","","","","","","","",1,"","","","","","","","","","","","","","",7,519894,525980,n,y,7,726954,736542,n,y,7,1792242,1792616,n,n,n,7,1771298,1775616,n,n,y,"","","","","",7,2378946,2379456,n,y,n,7,934966,936666,n,n,n,"","","","","","","","","","","","","",7,1160726,1162834,n,n,n,n,n
"","","","","","","","",8,383554,394978,"","","","","","","","",4,"","","","","","","","","","","","","","","","","","","","","",8,740520,798694,n,y,8,1837666,1841372,n,n,n,8,1777350,1787414,n,n,y,"","","","","",8,2386426,2387072,n,y,n,8,938706,940644,n,n,n,"","","","","","","","","","","","","",8,1174020,1175550,n,y,n,n,n
"","","","","","","","",9,399874,401200,"","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","",9,803386,817360,n,y,9,1861500,1865886,n,n,n,9,1790916,1792616,n,n,y,"","","","","",9,2426580,2432598,n,y,n,9,942310,944962,n,n,n,"","","","","","","","","","","","","",9,1178304,1183268,n,y,n,n,n
"","","","","","","","",10,404430,404906,"","","","","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","",10,1866940,1868402,n,n,n,10,1827228,1841372,n,n,y,"","","","","","","","","","","",10,954482,963390,n,n,n,"","","","","","","","","","","","","",10,1188674,1194386,n,y,n,n,n
"","","","","","","","",11,407966,433840,"","","","","","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","",11,1874862,1875542,n,n,n,11,1895976,1900872,n,n,n,"","","","","","","","","","","",11,969340,969680,n,n,n,"","","","","","","","","","","","","",11,1202580,1203804,n,n,n,n,n
"","","","","","","","",12,445570,457946,"","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","",12,1966798,1967886,n,n,n,12,1985124,1987674,n,n,y,"","","","","","","","","","","",12,971686,979914,n,n,n,"","","","","","","","","","","","","",12,1205708,1207510,n,n,n,n,n
"","","","","","","","",13,469404,487424,"","","","","","","","",5,"","","","","","","","","","","","","","","","","","","","","","","","","","",13,1986416,1987674,n,n,n,13,1989068,1990734,n,n,y,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,1229508,1247324,n,y,n,n,n
"","","","","","","","",14,501160,502520,"","","","","","","","",6,"","","","","","","","","","","","","","","","","","","","","","","","","","",14,1989068,1990734,n,n,n,14,1999880,2004776,n,n,y,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14,2506004,2510662,n,y,n,n,n
