task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
"","","","","","","","",15,337416,342040,"",7,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,1373566,1380876,n,n,n,"","","","","","","","","","","","","","","","","",15,614822,712436,y,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",16,342040,344284,"","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,1389852,1426164,n,n,n,"","","","","","","","","","","","","","","","","",16,808078,819128,y,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",17,344284,349588,"",8,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17,1768612,1783572,n,n,n,"","","","","","","","","","","","","","","","","",17,2321690,2441506,y,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",18,349588,350710,"",8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,1787482,1811962,n,n,n,"","","","","","","","","","","","","","","","","",18,2441560,2444090,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",19,351696,354280,"","",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,1815566,1820700,n,n,n,"","","","","","","","","","","","","","","","","",19,2445824,2449666,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",20,354280,360842,"",9,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20,1821992,1835646,n,n,n,"","","","","","","","","","","","","","","","","",20,2458336,2480810,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",21,360842,361930,"",9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21,1837428,1843650,n,n,n,"","","","","","","","","","","","","","","","","",21,2484006,2486182,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",22,361930,363494,"",9,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22,1845622,1852218,n,n,n,"","","","","","","","","","","","","","","","","",22,2493254,2509608,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",23,363494,367336,"","",5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",23,1856366,1863370,n,n,n,"","","","","","","","","","","","","","","","","",23,2512022,2528614,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",24,367336,373592,"",10,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",24,1865308,1867212,n,n,n,"","","","","","","","","","","","","","","","","",24,2531164,2696336,y,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",25,373592,377536,"","",5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25,1872686,1874352,n,n,n,"","","","","","","","","","","","","","","","","",25,2697662,2697696,n,y,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",26,377536,380086,"",11,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",26,1877990,1888428,n,n,n,"","","","","","","","","","","","","","","","","",26,2701878,2831316,y,y,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",27,382534,383316,"","",6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27,1891012,1893766,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",28,383316,385968,"",12,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",28,1900090,1905054,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",29,385968,389776,"","",6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",29,1907196,1911378,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",30,389776,393006,"",13,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30,1912636,1917532,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",31,393006,397004,"",13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31,1921748,1928956,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",32,397004,400554,"",13,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",32,1931744,1972850,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",33,400554,407422,"",13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",33,1976692,1980500,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",34,407422,415072,"",13,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34,1981724,2041700,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",35,415072,417792,"","",8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",35,2053158,2057646,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",36,417792,418608,"",14,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",36,2059074,2062066,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",37,418608,427380,"","",8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37,2064616,2091918,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",38,431868,449378,"","",9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38,2097902,2118880,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",39,449378,453832,"",15,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39,2123606,2124932,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",40,455022,455804,"","",10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40,2137410,2161992,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",41,455804,456314,"",16,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",41,2166718,2168384,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",42,456314,460870,"","",10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",42,2172090,2177190,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",43,460870,468418,"",17,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",43,2182936,2189090,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",44,468418,471920,"","",10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",44,2191300,2222648,n,y,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",45,471920,472804,"",18,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",45,2226830,2254234,n,n,n,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",46,472804,485418,"","",10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",47,487900,488464,"","",11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
