task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,306442,802604,MPS,1,306442,802604,"",1,318240,335580,"","","","","","","","","","","","",1,"","","","","","","","","","","","",1,341938,355300,n,y,1,318240,335580,y,y,1,2714254,2720238,n,n,n,1,2714254,2807414,n,n,y,"","","","","",1,1176910,1178270,y,y,n,1,1182758,1192652,y,n,n,1,1031254,1035436,n,n,n,n,1,1017042,1039380,n,y,y,"","","","","","","",""
2,1008848,1520854,MPM,2,1008848,1520854,"",2,341938,355300,"","","","","","","","",1,"","","","","","","","","","","","","","","","",2,358088,363494,y,y,2,475490,499562,n,y,2,2723434,2732376,n,n,n,2,2824142,2830840,n,n,y,"","","","","",2,1203702,1205606,n,y,n,2,1244672,1255110,y,n,n,2,1037578,1077256,y,n,n,n,2,1040774,1043528,n,n,y,"","","","","","","",""
3,1595416,1841848,G,3,1920082,2407946,"",3,358088,363494,"","","","","","","","",2,"","","","","","","","","","","","","","","","",3,368186,371178,n,y,3,512958,513094,n,y,3,2736592,2739618,n,n,n,3,2833254,2839544,n,n,y,"","","","","",3,2083248,2088280,y,y,n,3,1920082,1926154,n,n,n,3,1085416,1115608,y,n,n,n,3,1053728,1060902,n,n,y,"","","","","","","",""
4,1920082,2407946,NMM,4,2471358,2968098,"",4,368186,371178,"","","","","","","","",3,"","","","","","","","","","","","","","","","",4,375428,384798,n,y,4,522002,523702,n,y,4,2742644,2754986,n,n,n,4,2853008,2863310,n,n,y,"","","","","",4,2092444,2094774,n,y,n,4,1933546,1939224,n,n,n,4,1119280,1139748,y,n,n,n,4,1073074,1073380,n,n,y,"","","","","","","",""
5,2471358,2968098,NMS,"","","","",5,375428,384798,"","","","","","","","",4,"","","","","","","","","","","","","","","","",5,387226,417696,n,y,5,539716,541790,n,y,5,2764132,2767192,n,n,n,5,2866506,2968098,n,n,y,"","","","","",5,2097154,2098922,y,y,n,5,1940924,1943814,n,n,n,5,1141992,1148758,y,n,n,n,5,1077018,1087592,n,y,y,"","","","","","","",""
"","","","","","","","",6,387226,417696,"","","","","","","","",5,"","","","","","","","","","","","","","","","",6,421736,431426,n,y,6,642804,644266,n,n,6,2774842,2788918,n,n,n,"","","","","","","","","","","",6,2102356,2102798,n,n,y,6,1979514,1985042,y,n,n,6,1151750,1174462,y,n,n,n,6,1094834,1097724,n,n,y,"","","","","","","",""
"","","","","","","","",7,421736,431426,"","","","","","","","",6,"","","","","","","","","","","","","","","","",7,433296,474504,n,y,7,658444,667148,n,y,7,2794154,2802824,n,n,n,"","","","","","","","","","","",7,2106946,2107456,n,n,y,7,1989918,1996514,y,n,n,7,1193162,1207578,y,n,n,n,7,1112922,1113568,n,n,y,"","","","","","","",""
"","","","","","","","",8,433296,474504,"","","","","","","","",7,"","","","","","","","","","","","","","","","",8,496842,499562,n,y,8,671024,676226,n,y,8,2804660,2823224,n,n,n,"","","","","","","","","","","",8,2395198,2401726,y,y,n,8,2034458,2036566,y,y,n,8,1210060,1212474,y,n,n,n,8,1115438,1122544,n,n,y,"","","","","","","",""
"","","","","","","","",9,475490,496842,"","","","","","","","","","","","",2,"","","","","","","","","","","","",9,500752,503098,n,y,9,688976,691560,n,y,9,2825672,2830840,n,n,n,"","","","","","","","","","","","","","","","","",9,2042822,2044692,n,n,n,9,1221620,1233214,y,n,n,n,9,1125468,1126760,n,n,y,"","","","","","","",""
"","","","","","","","",10,496842,499562,"","","","","","","","",8,"","","",2,"","","","","","","","","","","","",10,515508,518704,n,y,10,714850,716346,n,y,10,2835090,2853314,n,n,n,"","","","","","","","","","","","","","","","","",10,2207756,2334837,y,n,n,10,1236410,1241170,y,n,n,n,10,1141108,1143318,n,n,y,"","","","","","","",""
