task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,527170,1045772,MPM,1,527170,1045772,"",1,527170,534038,"","","","","",1,"","","","","","","",1,1582530,1599088,n,n,y,n,1,1427150,1429360,n,n,1,1151988,1405050,y,y,1,1092760,1102484,n,y,1,1447890,1479170,n,n,y,1,1479374,1495422,n,n,y,1,660416,661028,n,n,1,557124,570350,n,y,n,1,593980,615604,n,n,n,1,527170,548726,n,n,n,n,1,534038,535024,n,n,y,1,813178,822086,n,y,n,n,n
2,1092760,1599427,MPS,2,1092760,1599427,"",2,534038,535024,"","","","","",1,1,"","","","","","","","","","","","","","","","","","",2,1411068,1416440,n,n,2,1111392,1148758,n,y,2,1483318,1485018,n,n,n,2,1515346,1546116,n,n,y,"","","","","",2,681870,682652,n,n,n,2,624478,638486,n,y,n,2,844424,948872,y,n,y,n,2,540090,540940,n,n,y,"","","","","","","",""
3,1717612,2347700,G,3,2475166,2965208,"",3,535024,540090,"","","","","",1,"","","","","","","","","","","","","","","","","","","",3,1429904,1448332,y,y,3,2662608,2697254,n,y,3,1496034,1556146,n,n,n,3,2617456,2705584,y,n,y,"","","","","",3,801686,807330,n,n,n,3,647020,698054,y,n,n,3,958868,998750,y,n,n,n,3,542912,543524,n,n,y,"","","","","","","",""
4,2475166,2975782,NMS,4,3021104,3495370,"",4,540090,540940,"","","","","",1,2,"","","","","","","","","","","","","","","","","","",4,1553902,1582258,y,y,4,2824482,2841788,n,y,4,2617456,2626364,n,n,n,4,2787048,2811596,y,n,y,"","","","","",4,831232,840854,n,n,n,4,702372,704004,n,n,n,4,3117052,3164210,y,n,y,n,4,545360,545938,n,n,y,"","","","","","","",""
5,3021104,3495370,NMM,"","","","",5,540940,542912,"","","","","",1,"","","","","","","","","","","","","","","","","","","",5,1596538,1599394,n,y,5,2843250,2844032,n,n,5,2629628,2687122,y,n,y,5,2813534,2819926,n,n,y,"","","","","",5,898926,898994,n,n,y,5,708662,713286,n,n,n,5,3175396,3180938,y,y,n,n,5,547434,548760,n,n,y,"","","","","","","",""
6,3757340,3897794,G,"","","","",6,542912,543524,"","","","","",1,3,"","","","","","","","","","","","","","","","","","",6,2544832,2599776,n,y,6,2844712,2853416,n,n,6,2697424,2705584,n,n,n,"","","","","","","","","","","",6,942208,950708,n,n,n,6,718692,725696,n,n,n,6,3201474,3209430,y,y,n,n,6,772310,782952,n,n,y,"","","","","","","",""
"","","","","","","","",7,543524,545360,"","","","","",1,"","","","","","","","","","","","","","","","","","","",7,2709970,2769606,n,y,"","","","","",7,2797622,2824210,n,n,n,"","","","","","","","","","","",7,961894,966790,n,n,n,7,747456,759730,n,n,n,"","","","","","","",7,786114,786522,n,n,y,"","","","","","","",""
"","","","","","","","",8,545360,545938,"","","","","",1,4,"","","","","","","","","","","","","","","","","","",8,2857258,2861576,n,y,"","","","","",8,2842128,2843080,n,n,n,"","","","","","","","","","","","","","","","","",8,784618,786488,n,n,n,"","","","","","","",8,843268,848028,n,n,y,"","","","","","","",""
"","","","","","","","",9,545938,547434,"","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,2844576,2849302,n,n,n,"","","","","","","","","","","","","","","","","",9,3181958,3182672,n,y,n,"","","","","","","",9,903380,904706,n,n,y,"","","","","","","",""
"","","","","","","","",10,547434,548726,"","","","","",1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,3187738,3192430,y,y,n,"","","","","","","",10,907426,910452,n,n,y,"","","","","","","",""
