,State 0,State 1,State 2,State 3,State 4
State 0,,,,,
State 1,0.0,0.466,0.199,0.058,0.277
State 2,0.0,0.263,0.516,0.068,0.153
State 3,0.0,0.0,0.08,0.531,0.389
State 4,0.002,0.172,0.084,0.16,0.582
