,State 0,State 1,State 2,State 3,State 4
State 0,0.0,0.0,0.0,1.0,0.0
State 1,0.0,0.467,0.347,0.08,0.107
State 2,0.0,0.115,0.59,0.214,0.081
State 3,0.008,0.018,0.097,0.675,0.203
State 4,0.011,0.103,0.179,0.342,0.364
Init prob,0.0,0.03333333333333333,0.225,0.5916666666666667,0.15
