,State 0,State 1,State 2,State 3,State 4
State 0,0.392,0.376,0.016,0.063,0.153
State 1,0.3,0.503,0.126,0.055,0.016
State 2,0.049,0.147,0.701,0.103,0.0
State 3,0.214,0.196,0.321,0.268,0.0
State 4,0.198,0.058,0.0,0.0,0.744
Init prob,0.20833333333333334,0.44166666666666665,0.10833333333333334,0.19166666666666668,0.05
