,State 0,State 1,State 2,State 3,State 4
State 0,0.819,0.0,0.016,0.137,0.027
State 1,0.0,0.333,0.405,0.036,0.226
State 2,0.019,0.125,0.425,0.338,0.094
State 3,0.11,0.009,0.101,0.601,0.179
State 4,0.09,0.14,0.081,0.351,0.338
Init prob,0.05416666666666667,0.09166666666666666,0.2,0.42916666666666664,0.225
