,State 0,State 1,State 2,State 3,State 4
State 0,0.487,0.421,0.0,0.091,0.0
State 1,0.194,0.618,0.117,0.071,0.0
State 2,0.063,0.206,0.623,0.109,0.0
State 3,0.108,0.216,0.169,0.507,0.0
State 4,,,,,
Init prob,0.2375,0.4875,0.10833333333333334,0.16666666666666666,0.0
