,0,1,2,3,4
0,0.57,0.25,0.01,0.1,0.07
1,0.29,0.49,0.12,0.09,0.01
2,0.06,0.19,0.62,0.13,0.0
3,0.26,0.15,0.12,0.46,0.0
4,0.27,0.03,0.0,0.0,0.71
5,0.38,0.33,0.08,0.19,0.02
