,0,1,2,3,4
0,0.78,0.0,0.01,0.17,0.04
1,0.0,0.45,0.26,0.08,0.21
2,0.0,0.18,0.48,0.22,0.12
3,0.07,0.02,0.1,0.57,0.24
4,0.03,0.16,0.09,0.27,0.45
5,0.03,0.12,0.2,0.36,0.29
