,State 0,State 1,State 2,State 3,State 4
State 0,0.579,0.182,0.002,0.11,0.126
State 1,0.401,0.393,0.047,0.121,0.039
State 2,0.023,0.273,0.432,0.273,0.0
State 3,0.4,0.1,0.081,0.419,0.0
State 4,0.306,0.008,0.0,0.0,0.685
Init prob,0.48333333333333334,0.2625,0.03333333333333333,0.2,0.020833333333333332
