,State 0,State 1,State 2,State 3,State 4
State 0,0.66,0.225,0.01,0.102,0.004
State 1,0.377,0.349,0.09,0.179,0.005
State 2,0.062,0.146,0.562,0.229,0.0
State 3,0.268,0.101,0.044,0.588,0.0
State 4,1.0,0.0,0.0,0.0,0.0
Init prob,0.575,0.17916666666666667,0.0125,0.23333333333333334,0.0
