,State 0,State 1,State 2,State 3,State 4
State 0,,,,,
State 1,0.0,0.331,0.058,0.24,0.37
State 2,0.0,0.27,0.405,0.162,0.162
State 3,0.0,0.239,0.077,0.444,0.239
State 4,0.0,0.351,0.042,0.141,0.466
