,State 0,State 1,State 2,State 3,State 4
State 0,0.0,0.0,1.0,0.0,0.0
State 1,0.009,0.405,0.103,0.379,0.103
State 2,0.0,0.196,0.424,0.326,0.054
State 3,0.004,0.233,0.123,0.605,0.036
State 4,0.0,0.216,0.135,0.351,0.297
