,State 0,State 1,State 2,State 3,State 4
State 0,0.677,0.0,0.242,0.081,0.0
State 1,0.04,0.278,0.151,0.357,0.175
State 2,0.177,0.124,0.425,0.248,0.027
State 3,0.066,0.24,0.191,0.432,0.071
State 4,0.019,0.453,0.113,0.283,0.132
