,State 0,State 1,State 2,State 3,State 4
State 0,,,,,
State 1,0.008,0.496,0.233,0.12,0.143
State 2,0.0,0.312,0.578,0.017,0.092
State 3,0.0,0.239,0.056,0.648,0.056
State 4,0.0,0.213,0.344,0.098,0.344
