,State 0,State 1,State 2,State 3,State 4
State 0,0.714,0.0,0.143,0.143,0.0
State 1,0.036,0.345,0.064,0.173,0.382
State 2,0.0,0.304,0.275,0.043,0.377
State 3,0.19,0.121,0.017,0.603,0.069
State 4,0.017,0.278,0.091,0.102,0.511
