,0,1,2,3,4
0,0.7,0.0,0.17,0.11,0.02
1,0.02,0.36,0.1,0.3,0.22
2,0.1,0.18,0.41,0.25,0.06
3,0.03,0.26,0.13,0.47,0.11
4,0.01,0.35,0.06,0.21,0.38
5,0.02,0.27,0.16,0.38,0.17
