,State 0,State 1,State 2,State 3,State 4
State 0,,,,,
State 1,0.0,0.294,0.157,0.098,0.451
State 2,0.0,0.268,0.427,0.037,0.268
State 3,0.0,0.304,0.0,0.565,0.13
State 4,0.0,0.288,0.124,0.03,0.558
