,0,1,2,3,4
0,0.71,0.03,0.05,0.21,0.0
1,0.02,0.38,0.16,0.16,0.28
2,0.0,0.32,0.48,0.04,0.17
3,0.12,0.19,0.04,0.59,0.06
4,0.01,0.31,0.12,0.09,0.47
5,0.02,0.28,0.24,0.16,0.29
