,State 0,State 1,State 2,State 3,State 4
State 0,0.763,0.0,0.026,0.158,0.053
State 1,0.022,0.374,0.101,0.273,0.23
State 2,0.151,0.151,0.377,0.208,0.113
State 3,0.067,0.333,0.126,0.274,0.2
State 4,0.007,0.29,0.065,0.232,0.406
