,State 0,State 1,State 2,State 3,State 4
State 0,0.714,0.02,0.0,0.265,0.0
State 1,0.031,0.305,0.153,0.244,0.267
State 2,0.0,0.4,0.471,0.0,0.129
State 3,0.166,0.131,0.028,0.641,0.034
State 4,0.047,0.353,0.129,0.176,0.294
