index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,335308,339694,,,,,,,,,1.0,,,,,['popuppals'],0,1
1,339694,351798,,,,,,,,,,,,,,no_ops,0,1
2,351798,365092,,,,,,,,,,1.0,1.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,2
4,365092,369648,,,,,,,,,2.0,,1.0,,,"['popuppals', 'shape_sorter_blocks']",0,3
5,369648,370974,,,,,,,,,,,1.0,,,['shape_sorter_blocks'],1,4
6,370974,373354,,,,,,,,,3.0,,1.0,,,"['popuppals', 'shape_sorter_blocks']",0,5
7,373354,383180,,,,,,,,,,,1.0,,,['shape_sorter_blocks'],1,6
8,383554,394978,,,,,,,,,4.0,,,,,['popuppals'],0,7
9,394978,399874,,,,,,,,,,,,,,no_ops,0,7
10,399874,401200,,,,,,,,,,,,,1.0,['xylophone'],0,7
11,401200,404430,,,,,,,,,,,,,,no_ops,0,7
12,404430,404906,,,,,,,,,,,,,2.0,['xylophone'],0,7
13,404906,407966,,,,,,,,,,,,,,no_ops,0,7
14,407966,433840,,,,,,,,,,,,,3.0,['xylophone'],0,7
15,433840,445570,,,,,,,,,,,,,,no_ops,0,7
16,445570,457946,,,,,,,,,,2.0,,,,['shape_sorter'],1,8
17,457946,469404,,,,,,,,,,,,,,no_ops,0,9
18,469404,487424,,,,,,,,,5.0,,,,,['popuppals'],0,9
19,487424,501160,,,,,,,,,,,,,,no_ops,0,9
20,501160,502520,,,,,,,,,6.0,,,,,['popuppals'],0,9
21,502520,519894,,,,,,,,,,,,,,no_ops,0,9
22,519894,525980,,,,,,,,,7.0,,,,,['popuppals'],0,9
23,525980,566134,,,,,,,,,,,,,,no_ops,0,9
24,566134,580312,,,,,,,,1.0,,,,,,['pig'],0,9
25,580312,588132,,,,,,,,,,,,,,no_ops,0,9
26,588132,588506,,,,,,,,,,,,,4.0,['xylophone'],0,9
27,588506,597584,,,,,,,,,,,,,,no_ops,0,9
28,597584,612170,,,,,,,,,,3.0,,,,['shape_sorter'],1,10
29,612170,628558,,,,,,,,,,,,,,no_ops,0,11
30,628558,673812,,,,,,,,,,,2.0,,,['shape_sorter_blocks'],1,12
31,673812,675376,,,,,,,,2.0,,,2.0,,,"['pig', 'shape_sorter_blocks']",0,13
32,675376,689010,,,,,,,,,,,2.0,,,['shape_sorter_blocks'],1,14
33,689010,695776,,,,,,,,,,,,,,no_ops,0,15
34,695776,708186,,,,,,,,,,,3.0,,,['shape_sorter_blocks'],1,16
35,708186,708730,,,,,,,,,,,3.0,,5.0,"['xylophone', 'shape_sorter_blocks']",0,17
36,708730,724608,,,,,,,,,,,3.0,,,['shape_sorter_blocks'],1,18
37,724608,725084,,,,,,,,,,,3.0,,6.0,"['xylophone', 'shape_sorter_blocks']",0,19
38,725084,726954,,,,,,,,,,,3.0,,,['shape_sorter_blocks'],1,20
39,726954,731034,,,,,,,,,,,3.0,,7.0,"['xylophone', 'shape_sorter_blocks']",0,21
40,731034,736542,,,,,,,,,,,,,7.0,['xylophone'],0,21
41,737392,739874,,,,,,,,,,,4.0,,,['shape_sorter_blocks'],1,22
42,740520,798694,,,,,,,,,,,,,8.0,['xylophone'],0,23
43,798694,803386,,,,,,,,,,,,,,no_ops,0,23
44,803386,817360,,,,,,,,,,,,,9.0,['xylophone'],0,23
