onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
214302.0,237388,no_ops,,,,,,,,,,,,,
237388.0,347038,['bricks'],1.0,,,,,,,,,,,,
347038.0,350574,no_ops,,,,,,,,,,,,,
350574.0,389130,['bricks'],11.0,,,,,,,,,,,,
389130.0,395046,no_ops,,,,,,,,,,,,,
395046.0,403512,['bricks'],16.0,,,,,,,,,,,,
403512.0,406606,no_ops,,,,,,,,,,,,,
406606.0,425510,['bricks'],19.0,,,,,,,,,,,,
425510.0,431120,no_ops,,,,,,,,,,,,,
431120.0,433772,['bricks'],20.0,,,,,,,,,,,,
433772.0,438464,no_ops,,,,,,,,,,,,,
438464.0,442306,['bricks'],21.0,,,,,,,,,,,,
442306.0,499630,no_ops,,,,,,,,,,,,,
499630.0,522308,['pig'],,1.0,,,,,,,,,,,
522308.0,533494,no_ops,,,,,,,,,,,,,
533494.0,543830,['pig'],,2.0,,,,,,,,,,,
543830.0,544884,"['bricks', 'pig']",22.0,2.0,,,,,,,,,,,
544884.0,567154,['bricks'],22.0,,,,,,,,,,,,
567154.0,569024,"['bricks', 'pig']",24.0,3.0,,,,,,,,,,,
569024.0,593844,['bricks'],24.0,,,,,,,,,,,,
593844.0,598808,no_ops,,,,,,,,,,,,,
598808.0,605234,['bricks'],26.0,,,,,,,,,,,,
605234.0,610402,no_ops,,,,,,,,,,,,,
610402.0,624512,['bricks'],27.0,,,,,,,,,,,,
624512.0,627776,no_ops,,,,,,,,,,,,,
627776.0,633998,['bricks'],29.0,,,,,,,,,,,,
633998.0,638112,no_ops,,,,,,,,,,,,,
638112.0,645456,['bricks'],30.0,,,,,,,,,,,,
645456.0,661028,no_ops,,,,,,,,,,,,,
661028.0,710260,['xylophone'],,,,1.0,,,,,,,,,
