index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,1745560.0,1777962.0,['pig'],,1.0,,,,,,,,,,,,0,1
1,1777962.0,1783096.0,"['bricks', 'pig']",1.0,1.0,,,,,,,,,,,,0,1
2,1783096.0,1800266.0,['bricks'],1.0,,,,,,,,,,,,,0,1
3,1800266.0,1807440.0,no_ops,,,,,,,,,,,,,,0,1
4,1807440.0,1817742.0,['pig'],,2.0,,,,,,,,,,,,0,1
5,1817742.0,1824644.0,"['pig', 'popuppals']",,2.0,10.0,,,,,,,,,,,0,1
6,1824644.0,1847560.0,['pig'],,2.0,,,,,,,,,,,,0,1
7,1847662.0,1867620.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,7.0,,,,,,,,,1,2
12,1867620.0,1872822.0,"['pig', 'shape_sorter']",,3.0,,,9.0,,,,,,,,,0,3
13,1872822.0,1874760.0,['pig'],,3.0,,,,,,,,,,,,0,3
14,1874760.0,1883668.0,"['pig', 'shape_sorter']",,3.0,,,10.0,,,,,,,,,0,3
15,1883668.0,1884416.0,['pig'],,3.0,,,,,,,,,,,,0,3
16,1884416.0,1885504.0,"['pig', 'shape_sorter_blocks']",,3.0,,,,6.0,,,,,,,,0,3
17,1885504.0,1888428.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,3.0,,,11.0,6.0,,,,,,,,0,3
18,1888428.0,1889584.0,['pig'],,3.0,,,,,,,,,,,,0,3
19,1889584.0,1890638.0,"['pig', 'shape_sorter_blocks']",,3.0,,,,7.0,,,,,,,,0,3
20,1890638.0,1893868.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,3.0,,,12.0,7.0,,,,,,,,0,3
21,1893868.0,1897676.0,"['pig', 'shape_sorter']",,3.0,,,12.0,,,,,,,,,0,3
22,1897676.0,1899308.0,['pig'],,3.0,,,,,,,,,,,,0,3
23,1899308.0,1903184.0,"['pig', 'shape_sorter']",,3.0,,,13.0,,,,,,,,,0,3
24,1903184.0,1904374.0,['pig'],,3.0,,,,,,,,,,,,0,3
25,1904374.0,1905088.0,"['pig', 'shape_sorter']",,3.0,,,14.0,,,,,,,,,0,3
26,1905088.0,1906414.0,['pig'],,3.0,,,,,,,,,,,,0,3
27,1906414.0,1907604.0,"['pig', 'shape_sorter_blocks']",,3.0,,,,8.0,,,,,,,,0,3
28,1907604.0,1909644.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,3.0,,,15.0,8.0,,,,,,,,0,3
29,1909644.0,1910698.0,['pig'],,3.0,,,,,,,,,,,,0,3
30,1910698.0,1911718.0,"['pig', 'shape_sorter_blocks']",,3.0,,,,9.0,,,,,,,,0,3
31,1911718.0,1913962.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,3.0,,,16.0,9.0,,,,,,,,0,3
32,1913962.0,1944528.0,['pig'],,3.0,,,,,,,,,,,,0,3
33,1944528.0,1946738.0,"['pig', 'shape_sorter']",,3.0,,,17.0,,,,,,,,,0,3
34,1946738.0,1948914.0,['pig'],,3.0,,,,,,,,,,,,0,3
35,1948914.0,1949492.0,"['pig', 'shape_sorter']",,3.0,,,18.0,,,,,,,,,0,3
36,1949492.0,1962446.0,['pig'],,3.0,,,,,,,,,,,,0,3
37,1962446.0,1971320.0,"['pig', 'popuppals']",,3.0,11.0,,,,,,,,,,,0,3
38,1971320.0,2006952.0,['pig'],,3.0,,,,,,,,,,,,0,3
39,2006952.0,2029902.0,no_ops,,,,,,,,,,,,,,0,3
40,2029902.0,2039660.0,['popuppals'],,,12.0,,,,,,,,,,,0,3
41,2039660.0,2053566.0,no_ops,,,,,,,,,,,,,,0,3
42,2053566.0,2072810.0,['pig'],,4.0,,,,,,,,,,,,0,3
43,2072810.0,2084540.0,no_ops,,,,,,,,,,,,,,0,3
44,2084540.0,2118846.0,['pig'],,7.0,,,,,,,,,,,,0,3
45,2118846.0,2133976.0,no_ops,,,,,,,,,,,,,,0,3
46,2133976.0,2152696.0,['bricks'],5.0,,,,,,,,,,,,,0,3
47,2152696.0,2156790.0,no_ops,,,,,,,,,,,,,,0,3
48,2156790.0,2171716.0,['bricks'],7.0,,,,,,,,,,,,,0,3
49,2174062.0,2175354.0,['popuppals'],,,13.0,,,,,,,,,,,0,3
50,2175762.0,2180284.0,['pig'],,8.0,,,,,,,,,,,,0,3
51,2180284.0,2181236.0,"['bricks', 'pig']",8.0,8.0,,,,,,,,,,,,0,3
52,2181236.0,2183174.0,['pig'],,8.0,,,,,,,,,,,,0,3
53,2183174.0,2183752.0,"['bricks', 'pig']",9.0,8.0,,,,,,,,,,,,0,3
54,2183752.0,2185724.0,['pig'],,8.0,,,,,,,,,,,,0,3
55,2185724.0,2186200.0,"['bricks', 'pig']",10.0,8.0,,,,,,,,,,,,0,3
56,2186200.0,2189396.0,['pig'],,8.0,,,,,,,,,,,,0,3
57,2189396.0,2189532.0,"['bricks', 'pig']",11.0,8.0,,,,,,,,,,,,0,3
58,2189532.0,2190926.0,['pig'],,8.0,,,,,,,,,,,,0,3
59,2190994.0,2191232.0,['bricks'],12.0,,,,,,,,,,,,,0,3
60,2191232.0,2212380.0,no_ops,,,,,,,,,,,,,,0,3
