index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,1571072.0,1642438.0,no_ops,,,,,,,,,,,,,,0,1
1,1642438.0,1692792.0,['xylophone'],,,,1.0,,,,,,,,,,0,1
2,1692792.0,1697926.0,no_ops,,,,,,,,,,,,,,0,1
3,1697926.0,1730294.0,['xylophone'],,,,2.0,,,,,,,,,,0,1
4,1730294.0,1734068.0,no_ops,,,,,,,,,,,,,,0,1
5,1734068.0,1734340.0,['xylophone'],,,,3.0,,,,,,,,,,0,1
6,1734340.0,1737808.0,no_ops,,,,,,,,,,,,,,0,1
7,1737808.0,1758956.0,['xylophone'],,,,4.0,,,,,,,,,,0,1
8,1758956.0,1791018.0,no_ops,,,,,,,,,,,,,,0,1
9,1791018.0,1802306.0,['xylophone'],,,,6.0,,,,,,,,,,0,1
10,1802306.0,1809412.0,no_ops,,,,,,,,,,,,,,0,1
11,1809412.0,1818558.0,['xylophone'],,,,8.0,,,,,,,,,,0,1
12,1818558.0,1878228.0,no_ops,,,,,,,,,,,,,,0,1
13,1878228.0,1940686.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,33.0,24.0,,,,,,,,1,2
15,1940686.0,1974312.0,no_ops,,,,,,,,,,,,,,0,3
16,1974312.0,1981180.0,"['shape_sorter', 'shape_sorter_blocks']",,,,,34.0,25.0,,,,,,,,1,4
17,1981180.0,2099636.0,no_ops,,,,,,,,,,,,,,0,5
