onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
401064,446386,,,,,,,,,1.0,,,,,['popuppals']
446386,454002,,,,,,,,,,,,,,no_ops
454002,615706,,,,,,,,,,,,,1.0,['xylophone']
615706,623934,,,,,,,,,,,,,,no_ops
623934,646034,1.0,,,,,,,,,,,,,['bricks']
646034,649230,,,,,,,,,,,,,,no_ops
649230,651576,2.0,,,,,,,,,,,,,['bricks']
651576,664972,,,,,,,,,,,,,,no_ops
664972,677416,3.0,,,,,,,,,,,,,['bricks']
677416,684284,,,,,,,,,,,,,,no_ops
684284,717502,,,,,,,,,2.0,,,,,['popuppals']
717502,721684,,,,,,,,,,,,,,no_ops
721684,768264,,,,,,,,,,,,,2.0,['xylophone']
768264,776458,,,,,,,,,,,,,,no_ops
776458,867748,4.0,,,,,,,,,,,,,['bricks']
867748,873256,,,,,,,,,,,,,,no_ops
873256,873800,5.0,,,,,,,,,,,,,['bricks']
873800,883354,,,,,,,,,,,,,,no_ops
883354,906848,6.0,,,,,,,,,,,,,['bricks']
906848,910418,,,,,,,,,,,,,,no_ops
910418,918544,7.0,,,,,,,,,,,,,['bricks']
