onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
238952.0,260032,no_ops,,,,,,,,,,,,,
260032.0,269314,['xylophone'],,,,1.0,,,,,,,,,
269314.0,280840,no_ops,,,,,,,,,,,,,
280840.0,301410,['xylophone'],,,,2.0,,,,,,,,,
301410.0,304810,no_ops,,,,,,,,,,,,,
304810.0,365704,['popuppals'],,,1.0,,,,,,,,,,
365704.0,368084,"['popuppals', 'xylophone']",,,1.0,3.0,,,,,,,,,
368084.0,373524,['popuppals'],,,1.0,,,,,,,,,,
373524.0,374442,"['popuppals', 'xylophone']",,,1.0,4.0,,,,,,,,,
374442.0,375054,['popuppals'],,,1.0,,,,,,,,,,
377944.0,458014,['xylophone'],,,,5.0,,,,,,,,,
458252.0,498678,['popuppals'],,,2.0,,,,,,,,,,
498678.0,503778,no_ops,,,,,,,,,,,,,
503778.0,570452,['popuppals'],,,3.0,,,,,,,,,,
570452.0,575892,no_ops,,,,,,,,,,,,,
575892.0,612476,['popuppals'],,,5.0,,,,,,,,,,
612476.0,621554,no_ops,,,,,,,,,,,,,
621554.0,633012,['popuppals'],,,6.0,,,,,,,,,,
633012.0,649264,no_ops,,,,,,,,,,,,,
649264.0,651576,['popuppals'],,,7.0,,,,,,,,,,
651576.0,656166,no_ops,,,,,,,,,,,,,
656166.0,749904,['popuppals'],,,8.0,,,,,,,,,,
