index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,567664.0,638724.0,['popuppals'],,,1.0,,,,,,,,,,,0,1
1,638724.0,647802.0,no_ops,,,,,,,,,,,,,,0,1
2,647802.0,699856.0,['xylophone'],,,,1.0,,,,,,,,,,0,1
3,699856.0,712810.0,no_ops,,,,,,,,,,,,,,0,1
4,712810.0,715020.0,['xylophone'],,,,3.0,,,,,,,,,,0,1
5,715020.0,740499.0,no_ops,,,,,,,,,,,,,,0,1
6,740499.0,747728.0,['pig'],,1.0,,,,,,,,,,,,0,1
7,747728.0,819078.0,no_ops,,,,,,,,,,,,,,0,1
8,819078.0,930886.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,1.0,,,,,,,,,1,2
18,930886.0,946254.0,"['xylophone', 'shape_sorter']",,,,4.0,6.0,,,,,,,,,0,3
19,946254.0,960330.0,['xylophone'],,,,4.0,,,,,,,,,,0,3
20,960330.0,961860.0,"['popuppals', 'xylophone']",,,2.0,4.0,,,,,,,,,,0,3
21,961860.0,964648.0,['popuppals'],,,2.0,,,,,,,,,,,0,3
22,964648.0,990216.0,no_ops,,,,,,,,,,,,,,0,3
23,990216.0,990692.0,['shape_sorter_blocks'],,,,,,2.0,,,,,,,,1,4
24,990692.0,1015988.0,no_ops,,,,,,,,,,,,,,0,5
25,1015988.0,1029214.0,['shape_sorter_blocks'],,,,,,3.0,,,,,,,,1,6
26,1029214.0,1074570.0,no_ops,,,,,,,,,,,,,,0,7
