index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,2319480,2371160.0,,,,,,,,,,1.0,,,,"['shape_sorter_blocks', 'shape_sorter']",1,1
5,2371160,2375376.0,,,,,,,,,,,,,,no_ops,0,2
6,2375376,2434128.0,,,,,,,,,,,3.0,,,['shape_sorter_blocks'],1,3
7,2434128,2452760.0,,,,,,,,,,,,,,no_ops,0,4
8,2452760,2519842.0,,,,,,,,,,,,,3.0,['xylophone'],0,4
9,2519842,2534632.0,,,,,,,,,,,,,,no_ops,0,4
10,2534632,2549150.0,,,,,,,,,,,,,4.0,['xylophone'],0,4
11,2549150,2552720.0,,,,,,,,,,,,,,no_ops,0,4
12,2552720,2615688.0,,,,,,,,,,,,,5.0,['xylophone'],0,4
13,2615688,2646798.0,,,,,,,,,,,,,,no_ops,0,4
14,2646798,2667708.0,2.0,,,,,,,,,,,,,['bricks'],0,4
15,2667708,2673658.0,,,,,,,,,,,,,,no_ops,0,4
16,2673658,2682328.0,3.0,,,,,,,,,,,,,['bricks'],0,4
17,2682328,2700518.0,,,,,,,,,,,,,,no_ops,0,4
18,2700518,2714696.0,4.0,,,,,,,,,,,,,['bricks'],0,4
19,2714696,2747642.0,4.0,,,,,,,,3.0,,,,,"['bricks', 'popuppals']",0,4
20,2747642,2778922.0,,,,,,,,,3.0,,,,,['popuppals'],0,4
21,2778922,2810100.0,,,,,,,,,,,,,,no_ops,0,4
