index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,2220846,2262564.0,,,,,,,,4.0,,,,,,['pig'],0,1
1,2262564,2328490.0,,,,,,,,,,,,,,no_ops,0,1
2,2328490,2329952.0,,,,,,,,,8.0,,,,,['popuppals'],0,1
3,2329952,2433108.0,,,,,,,,,,,,,,no_ops,0,1
4,2433108,2446062.0,,,,,,,,,,2.0,,,,['shape_sorter'],1,2
5,2446062,2535312.0,,,,,,,,,,,,,,no_ops,0,3
6,2535312,2543710.0,,,,,,,,,,,2.0,,,['shape_sorter_blocks'],1,4
7,2543710,2647172.0,,,,,,,,,,,,,,no_ops,0,5
8,2647172,2665702.0,,,,,,,,,9.0,,,,,['popuppals'],0,5
9,2665702,2679472.0,,,,,,,,,,,,,,no_ops,0,5
10,2679472,2719218.0,,,,,,,,,10.0,,,,,['popuppals'],0,5
11,2719218,2728772.0,,,,,,,,,,,,,,no_ops,0,5
12,2728772,2744786.0,2.0,,,,,,,,,,,,,['bricks'],0,5
13,2744786,2749580.0,,,,,,,,,,,,,,no_ops,0,5
14,2749580,2769708.0,5.0,,,,,,,,,,,,,['bricks'],0,5
