onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
410618.0,460326,no_ops,,,,,,,,,,,,,
460326.0,461516,['xylophone'],,,,1.0,,,,,,,,,
461516.0,487662,no_ops,,,,,,,,,,,,,
487662.0,492422,['popuppals'],,,1.0,,,,,,,,,,
492422.0,507994,no_ops,,,,,,,,,,,,,
507994.0,560082,['popuppals'],,,2.0,,,,,,,,,,
560082.0,587622,no_ops,,,,,,,,,,,,,
587622.0,600100,['pig'],,1.0,,,,,,,,,,,
600100.0,612816,no_ops,,,,,,,,,,,,,
612816.0,635256,['xylophone'],,,,2.0,,,,,,,,,
635256.0,641410,no_ops,,,,,,,,,,,,,
641410.0,657458,['xylophone'],,,,3.0,,,,,,,,,
657458.0,675682,no_ops,,,,,,,,,,,,,
675682.0,687140,['xylophone'],,,,4.0,,,,,,,,,
687140.0,711790,no_ops,,,,,,,,,,,,,
711790.0,770304,['shape_sorter'],,,,,1.0,,,,,,,,
770304.0,787644,no_ops,,,,,,,,,,,,,
787644.0,838100,['bricks'],1.0,,,,,,,,,,,,
838100.0,841398,no_ops,,,,,,,,,,,,,
841398.0,848096,['bricks'],5.0,,,,,,,,,,,,
848096.0,856664,no_ops,,,,,,,,,,,,,
856664.0,858874,['bricks'],6.0,,,,,,,,,,,,
