index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,1019830,1068382.0,,,,,,,,,,1.0,1.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,1
6,1068382,1078990.0,,,,,,,,,,,,,,no_ops,0,2
7,1078990,1106292.0,,,,,,,,,,,,,1.0,['xylophone'],0,2
8,1106292,1111698.0,,,,,,,,,,,,,,no_ops,0,2
9,1111698,1117954.0,,,,,,,,,,,,,2.0,['xylophone'],0,2
10,1117954,1131044.0,,,,,,,,,,,,,,no_ops,0,2
11,1131044,1164976.0,,,,,,,,,,,4.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,3
14,1165928,1169430.0,,,,,,,,,,,,,3.0,['xylophone'],0,4
15,1170144,1171538.0,,,,,,,,,,3.0,,,,['shape_sorter'],1,5
16,1172830,1191156.0,,,,,,,,,,,,,4.0,['xylophone'],0,6
17,1192414,1206898.0,,,,,,,,,,4.0,,,,['shape_sorter'],1,7
18,1206898,1210706.0,1.0,,,,,,,,,4.0,,,,"['bricks', 'shape_sorter']",0,8
19,1210706,1218934.0,1.0,,,,,,,,,,,,,['bricks'],0,8
20,1218934,1223592.0,,,,,,,,,,,,,,no_ops,0,8
21,1223592,1225156.0,2.0,,,,,,,,,,,,,['bricks'],0,8
22,1225156,1238076.0,,,,,,,,,,,,,,no_ops,0,8
23,1238076,1250724.0,,,,,,,,,,,,,6.0,['xylophone'],0,8
24,1250724,1282412.0,,,,,,,,,,,,,,no_ops,0,8
25,1282412,1309816.0,,,,,,,,1.0,,,,,,['pig'],0,8
26,1309816,1339260.0,,,,,,,,2.0,1.0,,,,,"['pig', 'popuppals']",0,8
27,1339260,1434086.0,,,,,,,,2.0,,,,,,['pig'],0,8
28,1434086,1499468.0,,,,,,,,,,,,,,no_ops,0,8
29,1499468,1504296.0,,,,,,,,,,,,,7.0,['xylophone'],0,8
30,1504296,1534692.0,,,,,,,,,,,,,,no_ops,0,8
