onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
2250188.0,2256750.0,,,,,,,,,,,,,12.0,['xylophone']
2256750.0,2278816.0,,,,,,,,,,,,,,no_ops
2278816.0,2282386.0,6.0,,,,,,,,,,,,,['bricks']
2282386.0,2290274.0,,,,,,,,,,,,,,no_ops
2290274.0,2291736.0,7.0,,,,,,,,,,,,,['bricks']
2291736.0,2339846.0,,,,,,,,,,,,,,no_ops
2339846.0,2345286.0,,,,,,,,,,4.0,,,,['shape_sorter']
2345286.0,2629526.0,,,,,,,,,,,,,,no_ops
2250188.0,2256750.0,,,,,,,,,,,,,12.0,['xylophone']
2256750.0,2278816.0,,,,,,,,,,,,,,no_ops
2278816.0,2282386.0,6.0,,,,,,,,,,,,,['bricks']
2282386.0,2290274.0,,,,,,,,,,,,,,no_ops
2290274.0,2291736.0,7.0,,,,,,,,,,,,,['bricks']
2291736.0,2339846.0,,,,,,,,,,,,,,no_ops
2339846.0,2345286.0,,,,,,,,,,4.0,,,,['shape_sorter']
2345286.0,2629526.0,,,,,,,,,,,,,,no_ops
3387080.0,3397280.0,,,,,,,,,,,,,,no_ops
3397280.0,3400714.0,8.0,,,,,,,,,,,,,['bricks']
3400714.0,3499654.0,,,,,,,,,,,,,,no_ops
