,State 0,State 1,State 2,State 3,State 4
State 0,0.384,0.127,0.396,0.053,0.041
State 1,0.111,0.414,0.395,0.08,0.0
State 2,0.19,0.108,0.594,0.002,0.106
State 3,0.283,0.283,0.022,0.413,0.0
State 4,0.008,0.0,0.293,0.0,0.699
Init prob,0.25416666666666665,0.21666666666666667,0.4666666666666667,0.0375,0.025
