feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,0.14,0.99,0.49,0.7,1.0
0,2,0.57,0.01,0.42,0.21,0.0
0,3,0.21,0.0,0.08,0.06,0.0
0,4,0.08,0.0,0.01,0.03,0.0
1,0,0.0,0.0,0.0,0.0,1.0
1,1,0.0,0.34,0.26,0.0,0.0
1,2,0.0,0.66,0.57,0.04,0.0
1,3,0.39,0.0,0.17,0.7,0.0
1,4,0.61,0.0,0.0,0.26,0.0
2,0,0.0,0.85,0.18,0.16,1.0
2,1,0.01,0.08,0.53,0.41,0.0
2,2,0.37,0.06,0.29,0.28,0.0
2,3,0.4,0.0,0.0,0.15,0.0
2,4,0.21,0.0,0.0,0.0,0.0
3,1,0.05,0.0,0.13,0.0,1.0
3,2,0.26,0.0,0.19,0.0,0.0
3,3,0.36,0.0,0.29,0.07,0.0
3,4,0.24,0.02,0.31,0.19,0.0
3,5,0.09,0.98,0.08,0.74,0.0
