,State 0,State 1,State 2,State 3,State 4
State 0,0.351,0.188,0.365,0.091,0.005
State 1,0.104,0.589,0.264,0.043,0.0
State 2,0.215,0.107,0.663,0.012,0.004
State 3,0.157,0.216,0.059,0.569,0.0
State 4,,,,,
Init prob,0.175,0.24166666666666667,0.5666666666666667,0.016666666666666666,0.0
